2019-06-17 13:36:25,758 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e0e3bca-ca15-41e6-be54-a84781f6dfd4, Nodes: c83778fa-d3a1-42c4-93eb-75ffd96e7ceb{ip: 143.157.25.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,759 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1763cb54-19f5-400b-b70c-61e3f782ec5c, Nodes: d0f33d02-f0d6-4a50-9e7d-533c636fb599{ip: 52.228.180.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,761 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3dece88-2bb4-486f-be7f-d1143b2b09f8, Nodes: 6f8e668d-cf3a-44f8-b3a7-7a30bb8354d8{ip: 58.209.162.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,761 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a6c70e1-2172-4dfc-b4f1-fb4d95c18087, Nodes: fa296502-ccf7-44c2-b14d-1e7f3e0838c6{ip: 51.236.158.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,762 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0dba6f0-36c3-4e2b-9371-0e9993eb6181, Nodes: c5cade4b-9c63-4eed-8665-006cabcf3294{ip: 130.88.67.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,763 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 47229a7d-be92-4a9f-b0cb-950766b25929, Nodes: c83778fa-d3a1-42c4-93eb-75ffd96e7ceb{ip: 143.157.25.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,763 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 11bdd46d-2488-4976-83e5-defa6ee9af5b, Nodes: 6f8e668d-cf3a-44f8-b3a7-7a30bb8354d8{ip: 58.209.162.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,764 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9241e60-c947-4689-9350-c6739db8de94, Nodes: 1f4f0c66-66aa-4e69-8be5-d0af607b5384{ip: 229.183.0.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,764 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b7f08d2-3850-4792-bd35-af7143c4f20a, Nodes: c5cade4b-9c63-4eed-8665-006cabcf3294{ip: 130.88.67.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 13:36:25,765 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 322cef4b-7122-42a0-a448-cace29c2f7c8, Nodes: d0f33d02-f0d6-4a50-9e7d-533c636fb599{ip: 52.228.180.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
