2019-06-18 03:03:56,945 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f8ea8b5-0666-4745-9dcb-f02f2097758b, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,946 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4e987e79-9281-4928-b569-386471dc90c4, Nodes: 2de3250a-7775-48c7-b018-4ad6538338d0{ip: 159.207.116.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,948 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f2b92e0d-e935-43ee-83c7-0e7f509d8c29, Nodes: 4e1e3d81-f34a-4882-8891-65bf1c3cc05c{ip: 110.16.117.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,949 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2acc8881-45ac-4944-ad66-9efd031c8803, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,950 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff294f42-cb4f-4c79-82d8-6598d4e86fbf, Nodes: 77845ffa-27e8-4ec4-ae90-b2ab90125190{ip: 85.82.119.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,950 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 60a1976d-2f88-4a23-b7fa-391bfe0bb0e9, Nodes: 1518b771-7e75-46e9-acb6-470a0360025e{ip: 1.196.247.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,951 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 55c534d9-8c67-44b6-9c5c-b6c74f63e351, Nodes: 4e1e3d81-f34a-4882-8891-65bf1c3cc05c{ip: 110.16.117.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,952 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 447c1498-8a47-474f-9a05-42bb042e52b6, Nodes: 436d711f-6666-405b-9588-ee9eb51b7354{ip: 121.20.188.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,952 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0fbfcf7-7b1a-4e96-9c0a-60fb247c7d23, Nodes: 74d9679a-fb4f-4f42-b59f-0e17855f2c46{ip: 139.125.62.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:03:56,953 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18a79c77-fefa-412d-81cb-fe42b5c330aa, Nodes: 3fa816a7-87e1-4166-a73f-de76433c1a75{ip: 172.138.213.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
