2019-06-17 01:09:25,668 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:25,824 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 01:09:25,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:26,136 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d7198b14-e603-4e75-9385-b2325c0e3115, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,136 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5e30fa4f-c09a-43b5-a13f-ab773bec8f07, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,138 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 37a54e66-a2e1-49e7-b7d8-1625bc79b64d, Nodes: 76971759-1d4e-482b-b8e5-5c02de65abaf{ip: 180.82.84.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,139 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f47e10de-2c1b-4dd6-bfda-1502a6ad24bf, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,139 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 439c31d3-e0f9-4e2b-a39b-f64678e54892, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,140 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 04a28014-0662-4312-9895-50ed571fabe2, Nodes: 6eb5d37e-c950-4f50-9c37-9a78e2479f2c{ip: 151.75.60.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,141 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 907f958d-08ed-4154-be24-a7037799a654, Nodes: 76971759-1d4e-482b-b8e5-5c02de65abaf{ip: 180.82.84.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,141 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7badf0e-e7b9-466c-9b2a-175328345950, Nodes: bfb30b0b-56cc-462f-a25f-c8247c149857{ip: 96.238.254.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,142 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ae58f95-8fb2-454d-a56a-de888bfbf33d, Nodes: 9e72ca9c-1b6a-4811-8920-371725c58128{ip: 83.176.153.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,143 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab44977b-1c13-432a-ab4d-5cfa3c9a939e, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
