2019-06-18 12:00:34,769 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 12:00:35,424 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e89389de-726e-43d0-aaa6-4c8f32ae125e, Nodes: 115b7fde-f70b-463d-b2ae-5c6a87205886{ip: 120.200.1.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,425 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5882d82-711a-43d5-94fd-536bc8f5f725, Nodes: 3f8ba321-3cc5-4bfb-9809-abee2530cbbd{ip: 247.201.157.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,426 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a11ba78-ba29-47b3-bb8f-0e1572ef1a60, Nodes: 0f6853b3-5864-46bb-9b7e-df6f1ab627cd{ip: 235.141.72.2, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,427 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 743842cb-d6fd-4d56-ae68-83f5fb498884, Nodes: ce53338f-9a82-4692-a054-27aacbbfd857{ip: 117.160.233.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,428 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 410c4efa-f891-4e1c-8ade-34ecf74e5c33, Nodes: 88a92a11-3a3f-4387-9486-3c40bb6e8bdf{ip: 18.201.85.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,429 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3bff8794-3afd-4de5-b31e-d2c231e2a5d9, Nodes: 3f8ba321-3cc5-4bfb-9809-abee2530cbbd{ip: 247.201.157.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,431 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff33bfa2-a9c3-43cb-bcba-16f72bce2753, Nodes: 0cbac55c-cf5b-47c3-8fc8-3f527024feb7{ip: 2.163.87.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,432 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5b804dc-552f-4fa5-ae25-4af3ad22929f, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,434 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f99b6291-d3f8-4172-b830-0210a37f103a, Nodes: 115b7fde-f70b-463d-b2ae-5c6a87205886{ip: 120.200.1.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,434 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b860fbc0-18ab-40dd-be5b-0c5c4f2a8258, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,435 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b41f73e-d35a-4c26-ab65-fb88208a72b6, Nodes: ed2af49d-6827-4fac-8e7a-c95ca91292a7{ip: 117.121.40.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,436 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c44ec9a8-f485-44f9-99b9-7b40a0879203, Nodes: 0f6853b3-5864-46bb-9b7e-df6f1ab627cd{ip: 235.141.72.2, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,437 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 542786e1-6530-450a-82ed-b424601ef157, Nodes: ce53338f-9a82-4692-a054-27aacbbfd857{ip: 117.160.233.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 12:00:35,437 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0513aebc-ae10-4ea4-ad78-67700e05408b, Nodes: 0f6853b3-5864-46bb-9b7e-df6f1ab627cd{ip: 235.141.72.2, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
