2019-06-17 01:01:12,982 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd775579-33a5-49a3-837d-8d66b128b4f8, Nodes: a5303deb-9318-4eac-8bb5-ee0678cf5bd4{ip: 144.174.78.92, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,983 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24b30d0b-d401-4929-a76c-76124334a010, Nodes: 814ca758-c3b9-466f-b355-d9d5e46f40ea{ip: 230.83.53.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,985 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d2f24eb4-c437-4424-b2d5-840387214895, Nodes: 814ca758-c3b9-466f-b355-d9d5e46f40ea{ip: 230.83.53.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,985 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e4d2691a-45f2-4ee4-b506-adc85d45ae6b, Nodes: a143c84e-f322-48b4-bd70-fb88a19aa44f{ip: 89.110.58.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6730c5b8-6708-4418-8d29-24bf1dd30295, Nodes: 9ff072a2-a0ed-4994-873a-4b5dda43a8a8{ip: 19.7.230.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce4ef792-0f69-4c28-87ad-6b3f6fb7b2dc, Nodes: 814ca758-c3b9-466f-b355-d9d5e46f40ea{ip: 230.83.53.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,987 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95fe948a-fd37-4369-9899-3477551abdb7, Nodes: e1bd7e5e-6589-430a-806f-9b649579e0a1{ip: 193.63.0.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,987 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 66e3405e-79bc-4964-acee-5c1b3197f05f, Nodes: 814ca758-c3b9-466f-b355-d9d5e46f40ea{ip: 230.83.53.69, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,988 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5af46411-8745-4128-b8ca-979c1f1170b5, Nodes: bc7b414c-fa30-438c-a392-a5972b1c7f4f{ip: 52.117.204.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:01:12,990 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: efca1f2c-b733-44dd-9276-fe6dfb39c87c, Nodes: 20e9c224-aea3-4fb0-bdc2-cf896dd9d88d{ip: 75.20.62.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
