2019-06-17 15:48:45,527 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f89eef66-0275-41eb-b29c-46fa09fbbbe2, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,527 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 561b3da4-0ba1-4780-a558-77f9f9f0341a, Nodes: cf8ddbec-6b6e-4754-9fea-92a0db692399{ip: 90.203.36.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,529 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8650ebc9-0d65-4d00-850e-8617e919c643, Nodes: 37d40427-3e64-4498-adce-0e8f7e1336bd{ip: 173.30.140.58, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,535 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d89a7b38-7b3a-4ddd-bd37-0b9a3219db84, Nodes: 37d40427-3e64-4498-adce-0e8f7e1336bd{ip: 173.30.140.58, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,535 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d19448ae-64ab-4da4-9e96-6adc498b0453, Nodes: be37b0d5-29ce-4117-8f84-30bc22252fe2{ip: 190.180.58.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,536 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc83bd91-5c61-4e49-8d45-abea9b29088e, Nodes: cf8ddbec-6b6e-4754-9fea-92a0db692399{ip: 90.203.36.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,537 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c9b7d85-36d8-4831-8089-e3ddc6e04096, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,538 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 534f3ed0-453c-462b-b49a-a17363534fa6, Nodes: be37b0d5-29ce-4117-8f84-30bc22252fe2{ip: 190.180.58.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,539 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5b42ce4-ff70-4f5b-b190-f90e4047b254, Nodes: be37b0d5-29ce-4117-8f84-30bc22252fe2{ip: 190.180.58.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,547 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 779d1141-3b54-4175-a84d-764b8398b09f, Nodes: 9acd1dbe-8fc3-4c60-8a4a-21a89c5ca9ff{ip: 97.214.221.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,548 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98a55a95-85bc-4057-9dd1-ee110d542356, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,549 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e48d77f6-0684-4f3f-a3ae-e903b9dda368, Nodes: cf8ddbec-6b6e-4754-9fea-92a0db692399{ip: 90.203.36.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,550 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1bda394e-7620-4e2b-a291-0ffdee90e932, Nodes: cf8ddbec-6b6e-4754-9fea-92a0db692399{ip: 90.203.36.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,550 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09fc7a32-8924-4a30-97ef-85b7d2a3b8d1, Nodes: 37d40427-3e64-4498-adce-0e8f7e1336bd{ip: 173.30.140.58, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,551 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29d2034a-0fdf-4060-9d68-dc682611166e, Nodes: 296bfe51-e3eb-44d8-b503-50aa566478bd{ip: 147.37.139.254, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,551 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e06628f3-0243-460a-860c-512785e9697b, Nodes: 296bfe51-e3eb-44d8-b503-50aa566478bd{ip: 147.37.139.254, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,552 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff3f5909-b8fe-440c-b804-7f3984f8f3e3, Nodes: be37b0d5-29ce-4117-8f84-30bc22252fe2{ip: 190.180.58.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,553 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e6cc8ccd-00e6-42eb-8d04-7b532b4ba1d6, Nodes: 37d40427-3e64-4498-adce-0e8f7e1336bd{ip: 173.30.140.58, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,553 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 087d36ff-f5fa-418e-abb0-721d8e484ea9, Nodes: 296bfe51-e3eb-44d8-b503-50aa566478bd{ip: 147.37.139.254, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,554 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21ea23ac-f0f4-45c4-9fe7-db7f3ca272a9, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,555 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 590f06ef-2c9b-49be-a923-7d53ffeb0643, Nodes: cf8ddbec-6b6e-4754-9fea-92a0db692399{ip: 90.203.36.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,556 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 876c777b-db3e-4d3f-b3d9-c634139eccf7, Nodes: 118e3419-36e8-4ae0-b29c-78db4527767e{ip: 95.159.116.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,556 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3670c639-51f5-40cf-b4ae-e8bf271cc018, Nodes: be37b0d5-29ce-4117-8f84-30bc22252fe2{ip: 190.180.58.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,557 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f745391-f7c1-43c7-b175-f92239fceb0e, Nodes: be37b0d5-29ce-4117-8f84-30bc22252fe2{ip: 190.180.58.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,557 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c54e1d9-0977-464f-b11b-3d26e772177d, Nodes: 9acd1dbe-8fc3-4c60-8a4a-21a89c5ca9ff{ip: 97.214.221.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:48:45,558 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95f7385c-3ffc-4240-9f48-d3130a28d2a9, Nodes: be37b0d5-29ce-4117-8f84-30bc22252fe2{ip: 190.180.58.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
