2019-06-17 05:42:29,675 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: faceffab-b300-4d4a-9869-8ca92e1a2f2d, Nodes: 4846ac75-9c3e-4f1e-a4f3-c30afd2d502f{ip: 166.228.38.1, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,676 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7e7c6a7-3d6a-4d87-a34b-2686bbe919de, Nodes: d005ccb3-54d7-4f9f-b6a5-55c3639f3334{ip: 17.241.75.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,676 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f2a8e63-d111-4e56-b292-7e03a12b850e, Nodes: 5a50c534-f6e9-4734-a785-81cf4f6842c2{ip: 55.46.151.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,677 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 751f22da-43c2-445e-8c65-066d6aa0ae3d, Nodes: 1ddc766c-6380-4543-ad65-736267616f35{ip: 128.115.36.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,678 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be2324d2-69bd-4739-a685-f53d871d1fb8, Nodes: c91b29aa-bce3-4bc3-a4f0-a737858bc3ee{ip: 156.6.91.229, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,678 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00884953-967c-4a4a-9f3b-8b4bebc23eb5, Nodes: b101c557-5722-4007-b1d2-8b519348ceb6{ip: 122.99.152.144, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,679 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a939ae5a-eb20-4dfd-a299-2a50da9c28fd, Nodes: b101c557-5722-4007-b1d2-8b519348ceb6{ip: 122.99.152.144, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,680 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 465cd9b7-5aa4-4461-a55b-ee5aca11fe69, Nodes: d005ccb3-54d7-4f9f-b6a5-55c3639f3334{ip: 17.241.75.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,680 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1eab14b9-0b1e-430f-a67a-86894c4864e1, Nodes: 1ddc766c-6380-4543-ad65-736267616f35{ip: 128.115.36.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,681 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 536a7ec2-6c6c-48e9-aaa6-c50ca6365be0, Nodes: 425bf3fe-c545-488f-814a-ad5cca250ff6{ip: 116.36.201.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,682 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 751451f9-28ce-4575-8c7c-14ce3c5a077a, Nodes: 425bf3fe-c545-488f-814a-ad5cca250ff6{ip: 116.36.201.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,682 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1852f6c5-45c7-4532-aa09-3ade76160307, Nodes: 1ddc766c-6380-4543-ad65-736267616f35{ip: 128.115.36.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,683 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 223362e8-7a97-4910-9979-f1cba303e112, Nodes: c91b29aa-bce3-4bc3-a4f0-a737858bc3ee{ip: 156.6.91.229, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,684 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b7f8195a-5cd1-4b9e-a916-02067a53375d, Nodes: 5a50c534-f6e9-4734-a785-81cf4f6842c2{ip: 55.46.151.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,685 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b627b3c3-eecc-4bc0-bd1b-f0ef60364d2c, Nodes: 1ddc766c-6380-4543-ad65-736267616f35{ip: 128.115.36.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:42:29,687 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a72a216-70ec-46e8-ae53-ee368bf66a81, Nodes: 1ddc766c-6380-4543-ad65-736267616f35{ip: 128.115.36.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
