2019-06-17 18:01:31,981 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4cc67bf6-1776-4452-8809-01d7456c4055, Nodes: 0386bf3d-053c-4f30-b5b0-cd3c3ebb9f20{ip: 225.249.213.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,982 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b09dcff-fcb8-4952-b118-a81a62484690, Nodes: f40dc595-a466-45a3-a614-b364d1df8c89{ip: 36.64.233.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,983 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c30072fe-aefc-484c-9c99-e8adbd9abc33, Nodes: 44d3b025-b15b-462c-a26d-dac4fb15abdc{ip: 240.2.81.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,983 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 89690ac6-bc24-4eeb-90b9-ffc3e59e5102, Nodes: 5ef9e8db-c7e1-46e5-a11b-12a59194b5f6{ip: 10.124.16.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,984 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08281c6f-c524-4db0-be96-d917fff39434, Nodes: f40dc595-a466-45a3-a614-b364d1df8c89{ip: 36.64.233.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,985 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83074e86-70e0-4a85-97b1-2e768c78ed1b, Nodes: d7aed3a3-398a-483d-b842-49522c95d001{ip: 75.16.89.12, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc59d5e6-9a3d-4863-913c-e72460ada04a, Nodes: f40dc595-a466-45a3-a614-b364d1df8c89{ip: 36.64.233.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,986 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b3961b7-f168-4333-b3ac-94f81a723c61, Nodes: 5ef9e8db-c7e1-46e5-a11b-12a59194b5f6{ip: 10.124.16.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,987 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51c0cbd0-2da6-4c3b-8f02-8ab78d643775, Nodes: d7aed3a3-398a-483d-b842-49522c95d001{ip: 75.16.89.12, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,987 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d0ece37c-9dc3-4af1-8eda-be16969100b8, Nodes: f40dc595-a466-45a3-a614-b364d1df8c89{ip: 36.64.233.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,988 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc06e4ec-ec09-493f-a47e-21e454c03204, Nodes: 0386bf3d-053c-4f30-b5b0-cd3c3ebb9f20{ip: 225.249.213.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,988 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 55889570-2667-4391-a690-6e6fb96e6a25, Nodes: 66bf01bd-c2d0-4fb6-b9ff-8232188c1b85{ip: 129.201.100.154, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,989 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0105e993-674d-4fe0-a709-a243336608c3, Nodes: d7aed3a3-398a-483d-b842-49522c95d001{ip: 75.16.89.12, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,989 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1bdeabd-450c-4cce-a602-a1b216b39f8e, Nodes: 2fe70572-4b1c-44d4-98a8-7218fab45a33{ip: 155.70.9.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,990 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4b979d5d-84fc-42bc-a77f-62434479c0e0, Nodes: 3fc26221-4c6d-42c4-aef2-1d406f699f62{ip: 18.23.217.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,991 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d7a365f-903e-48b6-8c7e-73a5e16f5037, Nodes: 5ef9e8db-c7e1-46e5-a11b-12a59194b5f6{ip: 10.124.16.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,991 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f363e2c8-144c-4ebf-ad69-d9d85aa43b3c, Nodes: 44d3b025-b15b-462c-a26d-dac4fb15abdc{ip: 240.2.81.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,992 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02963707-a45a-476f-b606-ea258eb310c3, Nodes: 44d3b025-b15b-462c-a26d-dac4fb15abdc{ip: 240.2.81.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38d617b3-493c-4eaf-93e5-90d01e169d50, Nodes: 5ef9e8db-c7e1-46e5-a11b-12a59194b5f6{ip: 10.124.16.221, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,993 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9345f219-7f24-4723-9942-7615bdc91590, Nodes: 2fe70572-4b1c-44d4-98a8-7218fab45a33{ip: 155.70.9.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,994 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 33754f78-ad43-4c02-915b-a77e0729a4bf, Nodes: 0386bf3d-053c-4f30-b5b0-cd3c3ebb9f20{ip: 225.249.213.153, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1aa639a7-7d82-4a25-88d2-2fc185b322c4, Nodes: 44d3b025-b15b-462c-a26d-dac4fb15abdc{ip: 240.2.81.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,995 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 50e1f7ea-f6da-4b3b-b2c8-d8f927d69b83, Nodes: 2fe70572-4b1c-44d4-98a8-7218fab45a33{ip: 155.70.9.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:01:31,996 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8fccd5d7-9991-4a95-864e-c0c43a197909, Nodes: f40dc595-a466-45a3-a614-b364d1df8c89{ip: 36.64.233.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
