2019-06-17 11:49:36,702 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b7c9b30f-1f1a-46d9-b523-cb040bda610a, Nodes: f3623844-fdd7-471e-a975-2a7a56cb5eba{ip: 241.31.104.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,703 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5bd388e-08aa-4c55-a6f5-bde718be1880, Nodes: f3623844-fdd7-471e-a975-2a7a56cb5eba{ip: 241.31.104.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,704 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88817c8d-78e8-42f5-ac6c-bf67baffa444, Nodes: 67657e2b-3648-4465-9877-ce341db9a333{ip: 104.56.238.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,704 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 72b3e49c-7e42-4640-9b14-60f2d70cd8d4, Nodes: 05bbd141-31bc-48be-94b2-f5475ba49255{ip: 149.216.124.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,705 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5c322f69-0ec3-4f30-b3b7-61e287ae34cb, Nodes: 67657e2b-3648-4465-9877-ce341db9a333{ip: 104.56.238.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,705 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a359ff61-11e0-4ec5-9da5-3bc1cbfdb353, Nodes: ed811062-3000-472f-b957-9f45da32949a{ip: 251.58.202.190, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,706 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cadc8ddb-50e6-437d-a501-1df920189b50, Nodes: 38eb5f14-5e6d-4cd7-8160-00710a4e6370{ip: 66.174.89.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,706 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd3d0b55-0b83-419e-902a-ffd72bd62443, Nodes: 1457555a-0c3f-4510-8c4f-8b0caa8ed002{ip: 118.160.184.177, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,707 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 300f3c36-a64f-461d-8537-2edafc4fb5fb, Nodes: 38eb5f14-5e6d-4cd7-8160-00710a4e6370{ip: 66.174.89.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:49:36,708 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88a9898f-6675-4673-a6c6-18fc7181859e, Nodes: 05bbd141-31bc-48be-94b2-f5475ba49255{ip: 149.216.124.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
