2019-06-17 17:11:44,965 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 17:11:45,586 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5cd75b50-2d27-4a4f-8c1f-72c661e3d00b, Nodes: 1b93d5e5-89af-483f-8688-2f1c872d3be5{ip: 178.226.79.66, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,586 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77b48bbb-f1ef-4162-87c2-212fcae7ba6a, Nodes: 0ff1902a-5364-44ca-8cde-23c75ea9f3af{ip: 222.11.150.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,587 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8f8e525-0d1f-4243-bf9b-5ba90534ece6, Nodes: 73765f32-33ea-4436-8b7f-70e9f4f57b25{ip: 149.227.218.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,588 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fee62fd8-2ef3-49eb-8ed9-2dc29e23db3a, Nodes: c86122e7-b199-4476-80dd-37bdd326505f{ip: 107.253.249.42, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,588 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3d2411ae-9cbe-457f-9e7f-a98cb4a6021c, Nodes: 0ff1902a-5364-44ca-8cde-23c75ea9f3af{ip: 222.11.150.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,590 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ed5d8ad7-416b-4b92-9eb5-71691ebe7524, Nodes: 1b4b3e61-cdb6-4ca5-a91a-e93e638be8ea{ip: 234.113.255.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,591 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 861b9683-41a6-4156-8290-1d2344419eae, Nodes: c1599e31-bb5c-40d3-b51e-06562c19ec59{ip: 94.9.50.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,592 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbfd6f31-2a00-4bce-9ae9-03badb86fb9a, Nodes: b0755659-8b9c-48da-ae9a-0165b67ad1fd{ip: 228.182.253.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,593 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f5c91ec-3c42-41c4-b1d5-cfc45a891922, Nodes: 73765f32-33ea-4436-8b7f-70e9f4f57b25{ip: 149.227.218.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 17:11:45,594 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 34580ed7-49d1-4097-88f2-72423c2ada96, Nodes: 0ff1902a-5364-44ca-8cde-23c75ea9f3af{ip: 222.11.150.193, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
