2019-06-17 04:11:08,929 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 04:11:09,466 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8220c6bc-f430-4c06-94f0-1a71be242d3c, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,466 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6509dce9-9a8b-435a-a9e9-c8b5c1495ea2, Nodes: 0fbe5eb9-446e-467d-ab07-b96681873e81{ip: 26.240.208.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,468 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bb3b08c3-1d72-4a5b-9695-d15e58e03803, Nodes: 329d726f-94d3-4eb6-be3b-f8a7fcedc9e3{ip: 55.193.16.74, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,469 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0dda4c42-198b-45c8-afd9-8b2e154e63fd, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,469 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b2e96e4-46b0-41ba-9659-825e170b63c8, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,470 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9fd13a20-8710-4af8-be87-4a211c22d8e3, Nodes: 7e11f7f9-d96d-42c1-a844-cd4f81b7ac63{ip: 108.29.17.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,471 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2e60d0bc-fd69-42d3-b8a2-a366ab78c00b, Nodes: 7fd2491b-c8d0-4c02-9232-2c68900ec049{ip: 31.71.242.90, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,471 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a46268fc-a520-4eb1-a8f0-e59624834eae, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,474 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b404ce9-7499-4306-9a48-cbc45602ff33, Nodes: de4464c7-f8c0-4a62-8d5b-0c8f5a0e555e{ip: 243.33.125.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,474 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85162856-d8a1-4700-a1ef-2d915c103018, Nodes: 329d726f-94d3-4eb6-be3b-f8a7fcedc9e3{ip: 55.193.16.74, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:11:09,476 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dfc5c804-ee84-4c17-a6a7-ddc9f039093f, Nodes: b6763371-b2a9-4ea6-8bec-ced013be9916{ip: 24.179.246.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
