2019-06-17 20:02:53,952 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 20:02:54,644 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 512c8d6e-470c-437f-b132-0f0abd9cb9ca, Nodes: 8f1650d4-311a-45c4-91ad-a72adfcdfc27{ip: 17.66.102.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,645 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f1b75de-1556-4d55-b88f-634df44f2b18, Nodes: 16cbb5ea-78bd-4b3b-9bee-018720fc7830{ip: 225.175.66.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,646 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 49aa7a95-8982-4e85-b462-6b410b0b0d87, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,647 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd381bc2-9462-45ad-aac1-82ab173354ca, Nodes: eba09d05-afef-4915-a7f5-79de109d8d76{ip: 12.58.242.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,647 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 27f862c4-335a-4e27-a777-f6fcc03c3364, Nodes: eba09d05-afef-4915-a7f5-79de109d8d76{ip: 12.58.242.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,648 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb2e3786-7538-4bea-bb73-25437d124924, Nodes: 9487089d-aa62-45c6-8351-ea00660ea931{ip: 192.70.210.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,649 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b08767b5-3101-4568-a086-d5919544c46c, Nodes: 1f939da1-9f96-4409-85dd-40a48fc7f99b{ip: 123.107.205.110, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,650 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e9d4be55-d63f-4821-b909-5f8199d62ee4, Nodes: dcfa7ea1-b201-485a-b4db-3fa123a5d9ea{ip: 169.246.174.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,651 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 89a504e4-0f47-47f2-af7f-69a3a34b4b04, Nodes: 8f1650d4-311a-45c4-91ad-a72adfcdfc27{ip: 17.66.102.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,652 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea8052bf-6d93-4bb0-80b2-6fedd5c4f404, Nodes: dcfa7ea1-b201-485a-b4db-3fa123a5d9ea{ip: 169.246.174.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,653 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8551e1b8-5233-43ee-a439-70b7c547da12, Nodes: b3e1d455-215b-49c6-8903-ce6f8e9e2444{ip: 41.236.151.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,654 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9bbbc96d-3a83-4c45-bb04-a965ebfab5c3, Nodes: 16cbb5ea-78bd-4b3b-9bee-018720fc7830{ip: 225.175.66.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 20:02:54,655 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a0bf58f4-2566-42be-85c8-339dc32102b9, Nodes: dcfa7ea1-b201-485a-b4db-3fa123a5d9ea{ip: 169.246.174.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
