2019-06-17 02:21:44,726 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 02:21:44,897 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 02:21:44,898 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 02:21:45,208 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e376d2d3-df8e-4273-966c-60f14833cfee, Nodes: 2e33e73a-a863-4fd5-b608-2643a909d55b{ip: 125.234.17.206, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,208 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a19e9995-5a18-46ad-81f4-c8181e64121b, Nodes: 3d6cf464-bfff-4077-a697-298f6608f6b5{ip: 189.113.206.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,209 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b04504b-3b84-49ab-b41a-0a160418c459, Nodes: ab5bb1f5-963e-4b75-aaff-b3969f2b294a{ip: 39.19.117.75, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,210 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3617a87b-672b-4a13-b2a1-1ca012b461da, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,210 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f16c133-573c-4857-9def-c7bc58a9160b, Nodes: 3d6cf464-bfff-4077-a697-298f6608f6b5{ip: 189.113.206.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,211 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b7e73c8-a77c-45ff-b8ea-f412aa7cbd68, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,212 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 64fd5d6e-1cde-45bf-9916-c71a7e970a1d, Nodes: 4740887d-f3bd-4db6-8ba1-e3f7ed78d464{ip: 166.138.207.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,213 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b94f7a4-5122-406d-8abc-02903475f2ea, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,214 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f6bca692-1604-4677-8763-2a6774d24794, Nodes: 45e99b4f-9dc5-4de4-9c6b-5a3344733edb{ip: 224.53.134.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,215 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e8aaf6b-3ed5-451f-817a-84cd178403be, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,215 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 535f421a-774a-4991-b960-6949a0030da6, Nodes: 2e33e73a-a863-4fd5-b608-2643a909d55b{ip: 125.234.17.206, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,216 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 048c947c-1dfd-4e12-a009-0107c1032e6f, Nodes: da136822-84a0-48d7-a974-04177e2f6f1b{ip: 193.153.8.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,216 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a18e0dd3-5460-498d-ba18-6681bfa849e3, Nodes: 4740887d-f3bd-4db6-8ba1-e3f7ed78d464{ip: 166.138.207.189, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,217 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 15d4df9f-9323-4de3-916b-e7e3b233d0a9, Nodes: 45e99b4f-9dc5-4de4-9c6b-5a3344733edb{ip: 224.53.134.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 02:21:45,217 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f6a4405-9073-468b-91d5-82611dbf2813, Nodes: 222a4e3a-8775-4d6c-a550-b91955182b02{ip: 16.3.100.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
