2019-06-17 00:35:55,637 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe2f5069-7fe3-43c2-a410-a7bfb8949dd7, Nodes: eb8d5ab7-1341-4158-9947-0f7a0ae1c7b2{ip: 43.180.22.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,638 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1247faf-36c7-4f5b-acbf-f3e8ee75a98a, Nodes: f2958fb1-3f22-4fb1-888c-bccb2d8a9b98{ip: 31.83.143.253, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,638 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2a71c24-00b5-43d4-b83d-397ff24bbb0b, Nodes: eb8d5ab7-1341-4158-9947-0f7a0ae1c7b2{ip: 43.180.22.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,639 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c7c315f-70ce-4893-b457-226158053ac2, Nodes: f5ad8f19-ffc5-4c9b-aacd-84ee5d743013{ip: 161.129.211.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,639 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 84a40cf2-b8ed-4f20-b2db-5ae42227972d, Nodes: 424d09e3-b802-4001-8a04-5464c32a0b44{ip: 235.96.43.190, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,640 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5797ab33-9768-4124-9f3f-46cd7e7393b1, Nodes: 8f492f23-dbd4-4e80-8cf9-c563152bd93a{ip: 252.27.183.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,640 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29a69780-03cb-49c7-bcd2-53cf0eb6aa7e, Nodes: 8f492f23-dbd4-4e80-8cf9-c563152bd93a{ip: 252.27.183.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,641 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a25484ee-a4dc-4eb7-984a-1f17fa4ea462, Nodes: eb8d5ab7-1341-4158-9947-0f7a0ae1c7b2{ip: 43.180.22.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,641 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b0653fc-2138-44ed-8877-d987b602ef6e, Nodes: 424d09e3-b802-4001-8a04-5464c32a0b44{ip: 235.96.43.190, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,642 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 709c7f43-4ec3-4fa5-8284-be96801ea3bb, Nodes: f5ad8f19-ffc5-4c9b-aacd-84ee5d743013{ip: 161.129.211.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,642 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fc1dd65a-9146-4729-9213-f56be60f75b9, Nodes: f2958fb1-3f22-4fb1-888c-bccb2d8a9b98{ip: 31.83.143.253, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,642 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d19dcbe-edb2-4df9-9b13-5a46232e18e5, Nodes: f5ad8f19-ffc5-4c9b-aacd-84ee5d743013{ip: 161.129.211.141, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,643 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f11f310f-f24e-41a4-882f-585b98b7eac0, Nodes: 8f492f23-dbd4-4e80-8cf9-c563152bd93a{ip: 252.27.183.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,643 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 12cc85be-620a-4207-ab58-99676e87a2ed, Nodes: eb8d5ab7-1341-4158-9947-0f7a0ae1c7b2{ip: 43.180.22.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,644 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4b5e5ead-8a9d-4c3e-88ce-8ada2dcc8036, Nodes: 8f492f23-dbd4-4e80-8cf9-c563152bd93a{ip: 252.27.183.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:35:55,644 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79b193ae-2a7e-4a7d-a3d8-cb78bce4aa70, Nodes: f2958fb1-3f22-4fb1-888c-bccb2d8a9b98{ip: 31.83.143.253, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
