2019-06-18 13:04:24,918 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b75d9c4d-bce8-4229-8277-8171f4068b4f, Nodes: 46e55598-9efc-4f9d-b13e-3ea7447e68d7{ip: 179.165.88.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,918 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 744de2e0-ffe1-42a2-be7c-e5dee0ac1dcd, Nodes: 8c3a4041-7b12-447d-82fc-3fb200490389{ip: 188.41.189.43, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,919 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 353cea44-e13c-430f-a7f9-79fd979cadb4, Nodes: 733a1b4e-5885-4884-91fe-faa84ab02ec9{ip: 74.69.87.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,920 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ff5468c-6725-488e-a313-c2ec675d4036, Nodes: f4f83fdc-47e4-47d8-af76-2ab86995448f{ip: 178.179.220.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,922 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 970be4ef-6f5e-484d-9449-02e54eb511f5, Nodes: cf8b687d-693b-4018-8229-ab33aacf37d4{ip: 4.85.6.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,923 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0e6e604-399c-4080-8823-acea3be0cf75, Nodes: f4f83fdc-47e4-47d8-af76-2ab86995448f{ip: 178.179.220.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,924 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ba23e04-1017-488e-8a44-e503ca9d454f, Nodes: 8c3a4041-7b12-447d-82fc-3fb200490389{ip: 188.41.189.43, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,925 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 902e5b76-ebb0-4651-9f74-e04381482c88, Nodes: e56b68c8-175e-4093-91e4-961ab3eef953{ip: 224.190.192.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,926 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7184f7a-8590-4286-9aef-9393d65d11a3, Nodes: e904e489-59d0-4301-8b98-18fa4a7bac04{ip: 105.3.192.159, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 13:04:24,928 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2a3ec29-a6fa-45c7-b977-2da22c1b87dd, Nodes: e56b68c8-175e-4093-91e4-961ab3eef953{ip: 224.190.192.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
