2019-06-18 06:25:41,818 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46241855-016b-4a5d-9970-fc67d6257bf6, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,819 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9115a8a1-95a5-433a-bd27-0fa346d9a113, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,820 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a13fe926-3c90-420e-b40e-6b94317ff7d2, Nodes: 456485bf-40ab-456d-a128-635f96a93679{ip: 226.102.165.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,820 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3fbe78e-0c23-483c-8283-3712dc9d811e, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,821 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b4efaad7-a3c3-44b0-b735-ba47ec3db6cd, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,822 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0830810f-4778-4096-8d48-6714aed80cbd, Nodes: 6d20a19e-6e28-461a-a6d1-f234861392d5{ip: 21.143.117.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,823 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bfe777c9-3805-49bb-a4c6-524c867c8a68, Nodes: 6d20a19e-6e28-461a-a6d1-f234861392d5{ip: 21.143.117.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,824 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b11ffda0-47af-43f1-b1bc-26ec754662d2, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,826 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8dbf75da-998e-4d25-94b7-7a631f7690b6, Nodes: 456485bf-40ab-456d-a128-635f96a93679{ip: 226.102.165.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,826 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 55c3ab93-7cc7-4775-bb2d-fb2795e81592, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,827 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8aa2c63-ec78-49ed-acca-80c0e2461db2, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,828 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2981b39f-5adf-4aed-8c83-cc9794887473, Nodes: 1167ff2a-dcbe-4c3a-91c2-ef577f440dca{ip: 42.56.189.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,828 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad5070a7-7421-43b9-b86a-defd6445c10e, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,829 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d33e170-ee66-401f-afb5-ad5f2f077aa2, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,830 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77d6e717-8a38-4211-8abf-f16103095444, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,830 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a13510e-7c18-4577-9b25-60c9fc512d10, Nodes: 35b4b115-0605-4922-a8f8-15d6c9997a01{ip: 18.225.170.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,831 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4a3c9c4b-e1a7-49e8-ab5d-a3cfc2d84a1a, Nodes: 7b7a0668-2f98-4f65-8a8e-d5d43c00ef0e{ip: 99.192.90.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e11a280-79be-4494-ba67-4606a8353089, Nodes: 456485bf-40ab-456d-a128-635f96a93679{ip: 226.102.165.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b2e3a0db-81eb-4be0-87f5-8e8f7db23427, Nodes: 1175c0c9-1e65-447c-9e4e-7768d0306324{ip: 32.61.131.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,833 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9381f16d-1ebd-4351-b90a-8d91e3ea1934, Nodes: 1eb9c7d3-5445-47a4-95cd-8e4eb2fd2397{ip: 136.97.227.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,834 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ed0018a1-afe7-4cd0-be34-c39281ae932e, Nodes: 745c42bb-5ee7-40f3-a348-45d7c088e0de{ip: 208.231.215.162, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 06:25:41,834 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95affd6a-bd71-45a3-a3f4-2fad0eec8c42, Nodes: 6d20a19e-6e28-461a-a6d1-f234861392d5{ip: 21.143.117.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
