2019-06-18 03:51:53,830 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 952ad07a-132f-470d-8dcd-d06c752e15c5, Nodes: 87c21a7a-5a17-483d-82df-a017f3d07add{ip: 80.17.211.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,831 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c384c59-ee61-4f79-9d04-819e2e7f0eed, Nodes: 15fddc31-80d2-48e1-8c33-f35fc332f631{ip: 53.212.139.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b068c31-535b-4bc1-a7cb-5d178e9c60ac, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 68a17d9c-bf22-410e-9634-44e1a8bddbb7, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,833 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f73ecc8a-12fb-4223-b90e-062d499885f2, Nodes: 1d8ac18a-5217-4cf2-af8c-12bb1d3b9b0c{ip: 181.172.150.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,834 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ede76737-bde9-43ba-b300-481ce81c5e9a, Nodes: ad8b9183-e43d-45d1-91e7-3dd0757f8da9{ip: 34.10.142.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,834 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 572f022b-f066-4df9-b334-a7bb4bd09543, Nodes: 15fddc31-80d2-48e1-8c33-f35fc332f631{ip: 53.212.139.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,836 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c3c71d7e-cc82-4944-b191-b657a1cb2f69, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,838 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b60fe127-fae6-481c-b3e9-3f9bdd18e277, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,838 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cbdb4267-fde6-4317-b101-90c0c6d819c7, Nodes: 15fddc31-80d2-48e1-8c33-f35fc332f631{ip: 53.212.139.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,839 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c29306b4-a903-4e23-afb6-5f0c1313c17b, Nodes: a562e751-56b0-4ed7-931d-3a009c237104{ip: 191.62.0.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,840 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ef5d9f62-55e2-4d92-834b-9cb2eebfd77a, Nodes: c7b122e5-b4fc-4fac-b57f-8a9050017d58{ip: 177.194.219.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:51:53,840 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e92647d8-c12f-4861-b4da-9005577a58c7, Nodes: b70913a9-03d9-4a2b-ace3-1dcb720a7b01{ip: 226.178.57.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
