2019-06-16 21:28:28,929 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:28:29,486 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a09ee81e-a877-4801-af6d-35fec284b85c, Nodes: 89bf2f7b-e0f3-438a-99de-634456432835{ip: 192.2.73.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,487 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 53a5da69-bf42-4737-8471-48d4ff9e5ba6, Nodes: 9f03c104-52a1-41f5-ac5e-eb53c28cf632{ip: 57.249.28.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,487 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8efe751-8caa-4272-937a-50229606f6a4, Nodes: 9843ff86-e26a-4608-ab2f-7a366276e3b2{ip: 7.126.117.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,488 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4ed10b3-2660-4172-b5d1-a0ad95b7c8be, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,488 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0da2cce-35d5-4f6c-8f7a-5c62327ebc53, Nodes: 73058fcb-4859-48c2-b9aa-854c562722f8{ip: 143.111.97.127, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,489 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1fd3b26-42c5-43c2-a6d2-3c83f8c2a41e, Nodes: 960e33df-1266-4d56-8511-5db0f5f83bb6{ip: 153.74.131.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,490 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1129e2a6-18bb-4e48-bfaa-44e63a8d6ebd, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,491 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba12a7d0-1edc-431c-a00e-2d84d90d0209, Nodes: 960e33df-1266-4d56-8511-5db0f5f83bb6{ip: 153.74.131.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,492 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dc561fa0-b474-4c21-a51e-a64d93857dcf, Nodes: b3aeb7a8-1537-4622-b90f-b28e8f13db33{ip: 16.210.208.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:28:29,493 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6654ba62-421e-4d6b-8752-0a69b2d1dfcd, Nodes: 960e33df-1266-4d56-8511-5db0f5f83bb6{ip: 153.74.131.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
