2019-06-16 22:16:39,710 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e600859e-d379-43c4-9cc3-761f259a92b3, Nodes: b1941c48-0b1a-45ba-8dcc-86e4ad264293{ip: 156.239.10.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,710 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 471e53e2-e005-4f2c-b644-5601ccdbbece, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,712 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 27a4d873-1dc4-47fb-bbab-3d701b9ddb41, Nodes: b1941c48-0b1a-45ba-8dcc-86e4ad264293{ip: 156.239.10.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,713 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f894c6a5-efe7-47bf-b950-7df2e8e2ed0a, Nodes: 0c5692f9-75b1-452c-901d-940f546a77e4{ip: 215.239.179.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,714 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c0df24d-c32f-47bb-9f28-db7baaad33ea, Nodes: bcecc318-a930-41eb-b108-1912bd98ca11{ip: 34.163.165.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,715 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 45e9b99a-bc21-443d-94cd-13fe81d3e809, Nodes: 0c5692f9-75b1-452c-901d-940f546a77e4{ip: 215.239.179.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,715 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e654a716-8f50-4485-a8cb-362daf045f52, Nodes: 6ba11038-229c-4c5d-8ab3-827e4a028b67{ip: 209.42.111.155, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,716 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0167b305-af16-41f7-8bd4-c92a990ea646, Nodes: 6485b1fb-a24e-44d7-8bb7-d9eb6853aa5f{ip: 141.222.125.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,717 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2e264436-1d3a-4a4f-a0fe-546146d46d18, Nodes: 0c5692f9-75b1-452c-901d-940f546a77e4{ip: 215.239.179.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,718 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf5d1b3f-67bb-4ae4-9076-997d2c90a07c, Nodes: 6ba11038-229c-4c5d-8ab3-827e4a028b67{ip: 209.42.111.155, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,719 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cdf68d2c-0781-4e2d-a7f4-9a985f768c4e, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
