2019-06-16 22:12:10,769 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc61f8e2-f4ff-4c1d-ae31-b97d138c1a23, Nodes: 7f56b330-9443-44bc-abef-fd4788d33d13{ip: 164.87.150.107, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,770 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98852376-54a3-4bd0-8529-10b6701616af, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,772 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29f768a9-0e3c-4c4f-b47a-a5983ea7fa61, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,773 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be1ccefa-202f-4d42-b5e4-5b383e66592f, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,773 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08241ffc-48ff-4787-89b0-9280b290ed30, Nodes: 7f56b330-9443-44bc-abef-fd4788d33d13{ip: 164.87.150.107, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,774 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 783653a1-0680-4865-9132-4865472118b1, Nodes: 999d7356-7034-4353-a57d-630ea77c1518{ip: 60.53.237.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,775 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba97316e-0ab4-4998-9985-58300a8fb213, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,776 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ebab9565-f027-4ebd-ba7d-1d7518ff28bb, Nodes: 999d7356-7034-4353-a57d-630ea77c1518{ip: 60.53.237.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,776 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d78d5c22-7d9e-411d-878a-07b909f0ca40, Nodes: 77067cf4-44e5-4769-97aa-d741e7f87f96{ip: 159.113.9.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,777 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5b16ae48-3d3a-46c5-8876-04d8f926ea66, Nodes: eb765e51-c48e-471f-b531-a3c60320bafc{ip: 39.159.147.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
