2019-06-17 14:27:17,828 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:27:18,376 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74e121dd-4f3d-425b-b4ba-a125daba8633, Nodes: 05be6a42-7120-426a-a962-c7a2f14dc844{ip: 153.220.91.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,376 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4bab805-dd0b-4f63-97d4-c00a9474805a, Nodes: 05be6a42-7120-426a-a962-c7a2f14dc844{ip: 153.220.91.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,377 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: af9747b2-7227-46df-b7ec-fa8277cbb695, Nodes: f8c9670e-b2a3-4d2c-a349-a90fd7de7ca1{ip: 133.92.226.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,378 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24171ed8-65c7-4008-a940-16e63a40226a, Nodes: 5565a83c-1d31-403b-8c48-c0becc383f5d{ip: 59.145.147.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,378 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62320690-4dc5-4a05-809f-06f657a222aa, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,379 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 89fd36fa-10d9-48bf-b9c1-cf3098e93dbf, Nodes: 2bd11c49-0d33-4517-811a-3eabb2016481{ip: 161.114.102.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,380 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88def0dc-10a4-47b4-9bc0-7c02bfb7ed9c, Nodes: f8c9670e-b2a3-4d2c-a349-a90fd7de7ca1{ip: 133.92.226.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,380 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78775707-bcdc-4999-9f8c-c0ea574a8ae4, Nodes: 05be6a42-7120-426a-a962-c7a2f14dc844{ip: 153.220.91.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,381 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbd15c5a-a626-4222-ad1d-b78c634853f9, Nodes: 6887e7b4-0a39-428d-8829-11b8e11d731f{ip: 32.116.172.231, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:27:18,382 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9624e358-f78b-4b84-b936-ee1333d871d1, Nodes: f8c9670e-b2a3-4d2c-a349-a90fd7de7ca1{ip: 133.92.226.54, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
