2019-06-17 05:19:28,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cbf0a12c-af14-41fe-8bb2-f1ba4773a1b3, Nodes: 0f1e433b-1f09-44f9-98cf-ea91f545ffc4{ip: 9.128.224.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2397db9f-6153-42c9-8bb1-570c137b157f, Nodes: 6cae779b-f614-464f-a01f-9fa1d30b90fd{ip: 206.248.22.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,615 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f8810e43-2418-4854-8888-2fc59e09b819, Nodes: 241c97da-10c3-4e6a-8995-3aaa3fd2c5bc{ip: 119.106.207.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f8d380da-8a82-4418-8492-ebf724d595e8, Nodes: 45f2ec3c-bf86-4d1e-9333-1862caa3d95d{ip: 227.227.111.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77aaf252-1a19-4803-a3f2-4aec601ba188, Nodes: 6cae779b-f614-464f-a01f-9fa1d30b90fd{ip: 206.248.22.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,617 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 24f54c3f-1aba-4965-a62c-82ed81153d78, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,618 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85aad043-36f4-4dae-9862-4873e33d6d32, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,618 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0799496c-7fe7-4096-bfb5-aa41c84cf9a8, Nodes: 241c97da-10c3-4e6a-8995-3aaa3fd2c5bc{ip: 119.106.207.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,619 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 706b7423-ca7c-4d0b-96e6-f386f77f7e7b, Nodes: a32bb9d2-b7f3-4e2d-bd9e-cbe7588785ee{ip: 38.30.235.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,620 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a7d8fa2-69f0-455e-a4ba-a4fb10a7fdb5, Nodes: 0f1e433b-1f09-44f9-98cf-ea91f545ffc4{ip: 9.128.224.20, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,621 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 12bfeb0c-6d05-4806-993f-c04707ef5db3, Nodes: 8ea9c812-5ba9-4fac-98b9-e1132f05ad35{ip: 130.106.49.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:19:28,623 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4932aa36-0476-4b1e-b0cc-5bcf0aa290fb, Nodes: 6cae779b-f614-464f-a01f-9fa1d30b90fd{ip: 206.248.22.86, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
