2019-06-17 16:36:45,788 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 16:36:45,956 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 16:36:45,956 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 16:36:46,275 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e0a32c52-d789-4ef2-91ef-8e78f5a0121f, Nodes: 00ab1354-8acb-43ad-9044-ba5947d300d6{ip: 88.122.221.245, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,276 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aec30b2b-8ed6-4dc0-b407-1a20199040c8, Nodes: 78c3320e-7f61-4612-8a2b-5f74b63d5d3a{ip: 47.23.87.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,278 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43249a2a-a558-4ad2-8e07-48078e3d56f3, Nodes: 40b82eaa-5a64-4340-b004-2e035514a777{ip: 115.231.159.163, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,279 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20d488f7-cbbb-4e29-808d-00ba2689bd0a, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,279 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d79b0194-6160-45ab-a79b-eb0843a54f0a, Nodes: c708f58a-3ec0-4248-8261-c1e727665a59{ip: 175.247.2.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,280 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91f09928-ea8a-4560-8850-fe3699098f0b, Nodes: 298d1585-133d-46e4-b539-317897a9392d{ip: 72.66.7.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,280 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3da5e860-c2cf-4abe-9723-b06800821b4a, Nodes: c708f58a-3ec0-4248-8261-c1e727665a59{ip: 175.247.2.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,281 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b00e029-e8f7-4021-bf4a-86b8a242b34f, Nodes: c708f58a-3ec0-4248-8261-c1e727665a59{ip: 175.247.2.18, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,282 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10505eef-b15c-48c2-929e-de03b09d65fa, Nodes: 40b82eaa-5a64-4340-b004-2e035514a777{ip: 115.231.159.163, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 16:36:46,282 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 251da393-37a7-45db-84c3-7c3f8a79d6e8, Nodes: 78c3320e-7f61-4612-8a2b-5f74b63d5d3a{ip: 47.23.87.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
