2019-06-17 10:55:51,640 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d74f6eb1-5c45-4402-a4ae-bed0525a25a1, Nodes: b0a6e3f3-6d11-4b2e-967c-4d4933a45e01{ip: 95.120.166.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,643 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20c3d6ad-0cbc-4cb3-9273-02230e1f76e1, Nodes: 93c0fcb2-eecc-4727-a56c-36e1e5047695{ip: 128.69.199.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,645 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22345451-2853-4e85-a348-f8fd5085180b, Nodes: 9ed4a8ee-11f5-4c53-b592-69d2691b2e54{ip: 3.3.117.118, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,646 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd3f950a-6933-4f4c-8b8c-d21a0c9a4846, Nodes: 0c80bc97-e52c-4d1d-b656-5adeff268f2b{ip: 55.18.196.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,646 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c8583719-68b1-4fc5-a51a-bf5777f98779, Nodes: 0c80bc97-e52c-4d1d-b656-5adeff268f2b{ip: 55.18.196.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,647 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a20a523a-f9fa-4976-a820-e38b29623107, Nodes: b455c611-d211-4362-8a5c-6c03005bbe61{ip: 128.61.123.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,648 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 655701b1-59bd-4b62-adbe-b0b2dbde3722, Nodes: 19c7711f-1829-44b0-9220-ed6459455278{ip: 78.49.251.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,649 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e9292ca3-fd2f-431f-901f-54dfd6b2ebc4, Nodes: 93c0fcb2-eecc-4727-a56c-36e1e5047695{ip: 128.69.199.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,649 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 430db135-5c42-437e-a495-154353cdb22c, Nodes: 9ed4a8ee-11f5-4c53-b592-69d2691b2e54{ip: 3.3.117.118, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,650 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ce73aa9e-62ba-462c-9481-6e81b0a16061, Nodes: 19c7711f-1829-44b0-9220-ed6459455278{ip: 78.49.251.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
