2019-06-15 12:48:11,879 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 556b91ba-88df-469a-856a-e51c5a840a9b, Nodes: 57603e2c-b858-4daf-a33e-1ad6285206fe{ip: 83.51.75.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,881 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3d731aaf-4ce8-47ef-b6b2-46b3763f5b62, Nodes: bf83748e-d570-475e-81e0-e2ce9c68d5a5{ip: 123.234.11.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,886 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 998776df-93da-411a-87b8-0cd54f5b109f, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,887 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74bad592-bdba-42cc-8235-e26a500545a2, Nodes: 440c0a30-17a3-413b-ad3e-569da7cd870f{ip: 222.236.139.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,888 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0a38ed56-53eb-4d0f-be08-f248c7cc0306, Nodes: bf83748e-d570-475e-81e0-e2ce9c68d5a5{ip: 123.234.11.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,889 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36fd6b05-a471-47f6-bd7b-0c2201c5f9e9, Nodes: 440c0a30-17a3-413b-ad3e-569da7cd870f{ip: 222.236.139.241, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,889 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0aeda9d-a5cd-4171-95bc-20fa719a8049, Nodes: 56154212-31f7-44d6-be0c-70d21a6ec62c{ip: 213.249.163.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,891 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3fdcaa0d-1462-449a-ae26-c9e0d9b28002, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,891 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f2e8e447-8789-4899-a6b2-266322ddc46e, Nodes: 81301fae-cb56-4ff8-8319-65509ead28a9{ip: 208.138.207.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,892 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1266e5b5-2a8a-4532-9846-30d22dad8a18, Nodes: c1964d72-5fe6-4101-b93c-e136e6f70aac{ip: 200.90.67.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,893 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ec2106db-c05b-4f76-b4f0-41b0f8e672a8, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:48:11,894 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5054822f-eaa6-458a-802c-265de2e1d777, Nodes: 9f4b0365-8dc6-427b-8489-9485605cf9ab{ip: 99.237.168.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
