2019-06-15 12:32:22,697 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:22,912 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 12:32:22,913 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:23,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e1624e7-e481-43b5-b8f0-fc6c5d827978, Nodes: 7b2e540b-762b-45f9-b30e-13e683750ffd{ip: 63.223.66.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,291 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b566289b-143b-4919-bbb4-2ba9336d4331, Nodes: 5af913da-5001-4e6b-a5f6-3eda2c2693c0{ip: 112.133.230.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,292 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7e1e0ee-d58d-4cbe-97b6-1c0031a9bfa8, Nodes: eafed896-15f6-4100-9b5e-2e4fba203cd6{ip: 229.96.156.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 255dfb94-2ada-45c4-ab1c-1d80d80c6999, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93b93cbd-58b2-4c05-9d25-ec8c0e971369, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8e1fd282-a9fc-4212-ab1a-742df15b5a9c, Nodes: 5af913da-5001-4e6b-a5f6-3eda2c2693c0{ip: 112.133.230.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b2f7d4a-8a7c-4159-b7b4-001eacc14246, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21f99baa-b429-410d-b6a1-a94a84130bc9, Nodes: f161f9e2-7b44-47d3-99ec-0ff827efdb38{ip: 49.153.112.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d6d1c62-6381-4db8-b281-a435cce88229, Nodes: 7b2e540b-762b-45f9-b30e-13e683750ffd{ip: 63.223.66.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b7f617d-fac5-40c7-8227-dd98c1247416, Nodes: eafed896-15f6-4100-9b5e-2e4fba203cd6{ip: 229.96.156.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e51a7d8e-6828-41c3-af0f-456a40d770d7, Nodes: eafed896-15f6-4100-9b5e-2e4fba203cd6{ip: 229.96.156.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51877af2-0f17-436e-ad7d-d37abba013ef, Nodes: f0ff2144-6fb6-4c90-9760-d415ceadf72e{ip: 149.69.122.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e937a2e2-876e-4b36-8d82-e930498843e3, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,299 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21a5c10a-ad03-4b44-894a-7db1523fce3d, Nodes: 7b2e540b-762b-45f9-b30e-13e683750ffd{ip: 63.223.66.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
