2019-06-17 15:21:15,779 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea51ac8f-0d70-48c0-866f-41c70f037081, Nodes: bc592f49-b596-45d2-8d5f-34031c60e346{ip: 250.43.24.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,780 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62289668-2cbb-4566-b025-27464cef5586, Nodes: bc592f49-b596-45d2-8d5f-34031c60e346{ip: 250.43.24.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,780 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e1c14712-7b10-404e-b050-b1b4cd88aaa1, Nodes: b2b48733-b460-4161-94e7-61a28d6bf9ca{ip: 214.31.53.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,781 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f7a375b-9730-4e4e-83ce-86daf0654db4, Nodes: 450c62e6-d962-4444-b748-c382a6f99bb3{ip: 97.123.225.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,781 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fdcf76bd-8bbf-4aa8-a219-262741a0d15a, Nodes: bc592f49-b596-45d2-8d5f-34031c60e346{ip: 250.43.24.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,782 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 41f4ca25-8a25-4661-b8d7-89f5ebceb8e9, Nodes: 478e659b-8a98-4d1f-8f19-a555c5bebe7f{ip: 184.189.242.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,783 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 641634f5-d3da-49ef-84cd-720308db530f, Nodes: 450c62e6-d962-4444-b748-c382a6f99bb3{ip: 97.123.225.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,785 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 16711ac6-1690-4a6a-ae8e-ad0acf1c8820, Nodes: 4e67b965-49fa-40c3-9484-3c657f424074{ip: 35.113.214.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,785 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88dab923-dd2e-490a-85f0-f16b1d444ebe, Nodes: 450c62e6-d962-4444-b748-c382a6f99bb3{ip: 97.123.225.124, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 15:21:15,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bfb4447d-3e7d-46a9-aa50-2bb934102ce4, Nodes: 478e659b-8a98-4d1f-8f19-a555c5bebe7f{ip: 184.189.242.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
