2019-06-17 11:50:09,788 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 11:50:09,949 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 11:50:09,950 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 11:50:10,258 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06621782-94c6-4a24-9fcf-570689410774, Nodes: 2d0a5fea-ea22-49cf-89dc-8aa7bccb20f5{ip: 52.237.78.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,259 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b93ef10-4b42-4d87-9b5b-cd4a35090d9e, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,259 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bfde2ac6-d2a2-4f44-9651-0ad7b16abf05, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,260 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4210dbf3-7735-4f00-9a78-2fff590e06f3, Nodes: db956d7f-78a6-4f0c-abea-f470d7d8db43{ip: 31.38.241.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,261 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29ef7f9d-e228-4a0b-a8b4-bb089d641b5e, Nodes: 9b39e15d-7926-494b-a77a-bbca35138d8f{ip: 208.101.68.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,261 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5099460-f69b-4752-aefa-cd2bfde902fc, Nodes: 0a7d0cd3-06ed-4f9c-babe-e9f76734b062{ip: 137.55.144.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,262 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 61aec158-b758-4f0d-8dac-3b6aae2e4800, Nodes: 09a0c046-ab11-4dda-a730-196fff98a759{ip: 28.147.105.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,263 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2efddc17-3602-4a25-b6f5-d5b1a30a3938, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,264 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93f9f5ea-001d-4cc6-aa14-c5c8812faa27, Nodes: 2d0a5fea-ea22-49cf-89dc-8aa7bccb20f5{ip: 52.237.78.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,265 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d125982-a5d9-4422-87a2-12bd30a5cba3, Nodes: 23bde844-7052-40fa-9020-f3cb97d2b887{ip: 90.29.173.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,265 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f14caa17-f1ed-42b2-aa18-c1ebb195c2e7, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,266 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d0df1e6-8d50-4de2-bad7-664d54352a76, Nodes: e0e9b685-7908-42d5-bc89-f2b7ad5ad55d{ip: 98.237.191.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,266 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88960e8f-0793-4806-82d1-d6e80d12f831, Nodes: 09a0c046-ab11-4dda-a730-196fff98a759{ip: 28.147.105.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,267 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 52329e69-7884-4616-b7e1-5799054faf41, Nodes: 9953e32f-ac54-4f26-9516-9066d1626429{ip: 248.239.185.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,267 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 61965a29-7c5d-4222-a6cf-b68f5fd02220, Nodes: 2d0a5fea-ea22-49cf-89dc-8aa7bccb20f5{ip: 52.237.78.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,268 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5896a81e-38cc-452b-b373-3ace236bcc5b, Nodes: 09a0c046-ab11-4dda-a730-196fff98a759{ip: 28.147.105.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,268 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18ad527c-cb43-4875-a523-d135a34a1909, Nodes: 23bde844-7052-40fa-9020-f3cb97d2b887{ip: 90.29.173.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,269 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9416f1b-f25e-418c-ae45-4d5a8900a3d5, Nodes: 0a7d0cd3-06ed-4f9c-babe-e9f76734b062{ip: 137.55.144.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,269 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f25ec9f9-bf6a-4cd5-b564-5709f6635d7a, Nodes: 9953e32f-ac54-4f26-9516-9066d1626429{ip: 248.239.185.160, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,270 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b8cccb83-d911-4b34-830b-a02e94954ef3, Nodes: 09a0c046-ab11-4dda-a730-196fff98a759{ip: 28.147.105.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:50:10,270 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3fdd7c58-e726-4f40-83c4-59578e4f4f17, Nodes: db956d7f-78a6-4f0c-abea-f470d7d8db43{ip: 31.38.241.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
