2019-06-15 10:24:33,878 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6abfc093-69fb-4922-aa57-9504c9b30334, Nodes: a8f9d12b-6fb8-4a30-bde0-10870b3c7c63{ip: 193.239.46.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,879 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5571b72b-eca5-498b-bf9b-7fa3b91e75ed, Nodes: 5e8c2d22-47e9-4d5d-b1ce-88bb9c6f5c6e{ip: 151.130.216.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,880 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b0b47ed-7f74-47b6-820f-4798c1996f09, Nodes: 58c9d224-727f-4da7-9508-24aef449c67e{ip: 244.13.159.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,881 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29938956-d187-4d33-ac0d-bad3b6e5f9ba, Nodes: c24b3278-1624-49f8-8c2d-8f8cc5e944c3{ip: 210.75.191.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,882 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dca194f0-31f9-46b7-8eae-12e486f272e1, Nodes: ae428adf-17fd-4575-8877-bc5586de57eb{ip: 22.221.187.74, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,882 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79a38f8f-58ec-4380-8589-85c9e626c858, Nodes: 5e8c2d22-47e9-4d5d-b1ce-88bb9c6f5c6e{ip: 151.130.216.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,883 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a89a752-2193-4b81-8742-f717969782ea, Nodes: 5e8c2d22-47e9-4d5d-b1ce-88bb9c6f5c6e{ip: 151.130.216.64, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,884 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 389ce3ab-9ad0-4563-8a50-59cfa1fc8754, Nodes: 66aae252-9d63-4ca9-9a44-ffe103a38fb2{ip: 253.229.105.113, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,885 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b5fcf53a-6f0e-4619-b475-8069e563ec22, Nodes: f4df90ce-8071-458e-b08c-bb2354f711fa{ip: 63.44.11.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 10:24:33,885 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e62c992d-2a13-4479-b265-db22696442f8, Nodes: 58c9d224-727f-4da7-9508-24aef449c67e{ip: 244.13.159.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
