2019-06-16 21:52:17,791 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8ffec4b4-3b2a-4aed-ba8b-012141080054, Nodes: 91738029-9168-4405-9574-aa9af5b6e626{ip: 220.17.169.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,792 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 964608f1-7cef-4148-a749-052b950ff62f, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c835ef64-c004-4015-838a-32b67a1a0362, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,793 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 37574e3e-5ede-4900-8621-a04ea5a724e0, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10d06666-8e32-4600-a419-727091d3545c, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,794 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 010cdc1c-8745-41ca-aa9d-2b2dbe0db2e5, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,795 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b4b6900-1f57-4e8d-918c-4c38bf7d0ac5, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,796 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ccc1b71a-b91d-4c3f-9a21-780ae4bc4358, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e62f5b64-dfce-415a-9a63-91602d7f58e1, Nodes: 91738029-9168-4405-9574-aa9af5b6e626{ip: 220.17.169.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,797 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aaae42df-e39d-400a-9830-24a378e3169c, Nodes: dfc542ab-0665-4ff9-8094-9ad94bd94413{ip: 15.159.240.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,798 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 54383cd5-a39d-4127-853e-dd6ffbd35401, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd8edf04-73e2-4cf6-93f8-5a75a09bcbef, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b8a9c52c-70be-41d8-9118-526b24185160, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a6790a3-c4cf-4360-b8c0-0accfa33ae7f, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,800 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4ddf95d0-d427-45fd-ad5f-de686d2d2169, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,800 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 57c9de2d-cf3b-48f6-9d1c-91b56c76d03d, Nodes: 91738029-9168-4405-9574-aa9af5b6e626{ip: 220.17.169.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20e892f5-ff31-42f3-bc5f-0b0cc5bf798f, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ef3309d-fadd-4b49-a4f3-6e9f72a2e812, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,802 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98e4e0cc-5054-4861-9207-bdb296b6e395, Nodes: 967da270-c39f-4b77-8aa2-131cdf9b79cb{ip: 93.231.66.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,802 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3bbb1534-fb6b-48d4-a2bf-7c264ca572fd, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,803 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6aef6ca2-a475-4040-915f-3d28e7e83f2c, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,803 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6fa28354-20b9-4aad-940e-2887f37a40da, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,804 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 42a0f97f-f78b-4a6a-a862-d21cd647a987, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,804 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7da2aa46-b0c2-416c-8a39-ecfd142c19ed, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,805 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3581632a-49ef-439a-a3e8-d0cf9c9d17b5, Nodes: 967da270-c39f-4b77-8aa2-131cdf9b79cb{ip: 93.231.66.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,805 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fcd68683-b05c-4713-a18d-0a4ec1cce10c, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,806 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad93dd95-8d9b-455f-9096-e21af03836a8, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,806 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 18be1214-e4e2-49d5-ba11-d2c21375d936, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,807 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 91396294-23a9-4e16-8109-8603ab5cea16, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,807 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 454896f0-b967-4642-8491-8b06caff2204, Nodes: 967da270-c39f-4b77-8aa2-131cdf9b79cb{ip: 93.231.66.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,808 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2104a534-8d11-46ca-b3b4-7fcf95bac6a3, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,808 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f53ef3de-b925-47f0-8649-3bb16b04f1f7, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,809 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 75929599-cd7b-4e8f-b8e4-61c782064dd5, Nodes: dfc542ab-0665-4ff9-8094-9ad94bd94413{ip: 15.159.240.51, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,809 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e5ed9d6-60e3-49a6-9405-e912689fda5a, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,809 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4113435-9597-4170-8750-4445267b9505, Nodes: 091469af-6288-476f-9f08-88964bee8bf4{ip: 90.222.166.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,810 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: deaaf99e-1600-4731-aeb0-a933b8758121, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,811 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a990a803-9d29-4ebd-b423-a8c596f66f86, Nodes: cd8fd793-44ad-445e-9d6a-5d62142545bd{ip: 57.142.57.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,811 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2521fe67-f5f1-4288-928c-19168b3e765a, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,812 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f8534365-d952-40c6-a699-bbf4630340fc, Nodes: 7977cf01-0545-4394-9511-92745e0463f4{ip: 128.92.77.185, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,814 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98203237-72e2-4209-88a7-29dbb53dbe0a, Nodes: 062023ab-15a1-4eae-b1ca-c95bcc80b1d8{ip: 190.246.16.7, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:52:17,815 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 968dadb8-d089-43bd-88ec-dac7fdb77854, Nodes: dc4714ca-190d-4f0a-a0c5-ffea9d2317fd{ip: 250.95.120.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
