2019-06-18 07:22:19,867 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 07:22:20,394 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3bca83ed-3b3e-4aab-8563-db50a86ac4dc, Nodes: 53a34aff-a174-4e70-9ace-29c906b5503f{ip: 15.133.212.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,395 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 682e68a6-7c25-4aff-84ac-10f73c117532, Nodes: 8246c55e-7a26-44e3-91e4-091c538fa21b{ip: 229.48.95.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,395 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0377bbc-b5f8-4f72-94b1-5330693a1b28, Nodes: 097d8eeb-06ec-47bf-b779-b780f164d743{ip: 248.62.189.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,396 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a970a793-ca70-4cc5-9a83-5b0dc20be775, Nodes: 8246c55e-7a26-44e3-91e4-091c538fa21b{ip: 229.48.95.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,398 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 53a62ca7-83c9-4fbf-bc5e-1aad1fcb0bad, Nodes: 39d14ef8-6927-46b7-9f10-60b4f73ea3cb{ip: 198.25.6.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,399 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09895762-7c32-410a-ae66-6bbf041926fc, Nodes: c8d4c769-a472-421a-8bae-904d81fa4418{ip: 245.93.43.140, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,400 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b6c9d7a-59ec-45c3-9461-8dd5eafee08b, Nodes: 8246c55e-7a26-44e3-91e4-091c538fa21b{ip: 229.48.95.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,401 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 25cb9a0d-282b-4cf3-8bdf-28b7a32d1c86, Nodes: 53a34aff-a174-4e70-9ace-29c906b5503f{ip: 15.133.212.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,401 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 23fb1427-b180-47f9-baab-67d5224d2e47, Nodes: 53a34aff-a174-4e70-9ace-29c906b5503f{ip: 15.133.212.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:22:20,402 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff200d6d-4f0d-465a-8431-0ac5026e5d0b, Nodes: 53a34aff-a174-4e70-9ace-29c906b5503f{ip: 15.133.212.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
