2019-06-17 04:27:12,971 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e91eccc2-492d-423b-9a85-8707e07f3f74, Nodes: c099b116-3d23-4e72-8b1a-df04c8ba0380{ip: 235.17.244.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,971 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d62205b-fe4a-4c3a-aa6c-ab212f66f03c, Nodes: daeb296a-1d66-4a60-b3f2-45fa32430371{ip: 252.254.252.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,973 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 40a6a6c5-2cb9-4f89-b917-8efb712d7a07, Nodes: d37c39d1-587f-4cce-8322-03d9c86174a4{ip: 79.190.134.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,974 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 111cf111-447a-4e22-8f0a-81b2643d4719, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,974 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b3fed42-681e-42cb-8495-d32c662d5148, Nodes: 8245915c-9ef8-4f67-9c4d-58f02b0020d5{ip: 2.13.174.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,975 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ae5f153-0528-4a06-83fb-c0878e78da34, Nodes: daeb296a-1d66-4a60-b3f2-45fa32430371{ip: 252.254.252.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,976 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: be201b76-1c7d-4000-92d3-50230187d4f4, Nodes: daeb296a-1d66-4a60-b3f2-45fa32430371{ip: 252.254.252.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,976 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3370a97d-5764-4f85-849e-5dfb0975cc1e, Nodes: 860e7995-6ec8-4e98-902d-ba752529b1a7{ip: 49.129.150.60, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,977 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b087ec3a-5863-4644-a8cd-b3f49ca51719, Nodes: daeb296a-1d66-4a60-b3f2-45fa32430371{ip: 252.254.252.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,978 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad028ad8-401c-43f2-980d-b9652f9abeb3, Nodes: b70fbe8d-89c4-4a07-82e1-6b0a9bd11149{ip: 251.185.180.166, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,979 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4fda4366-09b3-4a15-9c22-38b24ddac065, Nodes: ffb32c31-8a07-4e47-8a9d-e254744cf5aa{ip: 151.77.145.217, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,981 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56d0d6a4-b7de-41d8-b881-e143b2ce67fa, Nodes: d37c39d1-587f-4cce-8322-03d9c86174a4{ip: 79.190.134.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,981 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 75e4c802-039f-47f0-8f4a-1ab88359759d, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,982 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba72da9a-4ab8-4ced-9545-b05898493e52, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,983 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a8d19d8-f565-4838-8371-234d11610837, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,983 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 550d5234-c3ab-4a36-976f-3207e13e32c8, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,984 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3696599-1f5c-4384-bf4e-e215d04d4cc0, Nodes: 8245915c-9ef8-4f67-9c4d-58f02b0020d5{ip: 2.13.174.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,984 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c2e10cae-f1ce-44f4-90fa-09fddd3ff440, Nodes: d37c39d1-587f-4cce-8322-03d9c86174a4{ip: 79.190.134.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,985 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c60620cd-6fc4-4b2a-bd56-4961857d94b5, Nodes: 8245915c-9ef8-4f67-9c4d-58f02b0020d5{ip: 2.13.174.119, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 04:27:12,985 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 728b3545-914e-46c3-80e3-75347988e358, Nodes: 644ac647-cca9-4605-ba53-daa8a12fdf2e{ip: 233.200.113.98, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
