2019-06-18 03:31:14,739 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 03:31:14,911 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 03:31:14,912 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 03:31:15,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 285ead46-386a-4a4d-978e-183ee2563f5e, Nodes: 4a794ea1-dbd9-48a7-bdd1-3a3414296b37{ip: 172.14.197.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02322d3b-4422-4587-b25f-638f3f0fe2ff, Nodes: a34d6010-32bf-4837-9233-3956f60af520{ip: 54.192.89.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,289 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ebd57a4-fdb3-4f51-9a8c-2ab74faadd1d, Nodes: 859eba4a-19e6-42aa-9980-a352b5bab9fe{ip: 115.166.66.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b214a613-fbe7-46f6-961a-e32be1093eff, Nodes: a34d6010-32bf-4837-9233-3956f60af520{ip: 54.192.89.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6f3a9037-deb3-4439-a397-d7a0bfd5d02a, Nodes: 1bab9a8e-edc4-447b-a0d9-edfa6ff1fa42{ip: 108.212.237.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,291 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01c45967-169d-470c-9e1f-2097c3ef61be, Nodes: 1bab9a8e-edc4-447b-a0d9-edfa6ff1fa42{ip: 108.212.237.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,292 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82a09749-1101-42a6-9c86-e105397c1645, Nodes: 1b84efd8-112f-4de1-ae55-d6c496a0175d{ip: 93.24.31.125, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 22ab78ea-7df0-46a2-b337-c811fb087993, Nodes: 859eba4a-19e6-42aa-9980-a352b5bab9fe{ip: 115.166.66.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 85f8fdc0-29b9-40f2-b39a-d82814e3c1c2, Nodes: d77cdc0d-1376-477f-85b1-590f9d3563ba{ip: 149.77.44.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f097d12d-6d03-4b10-98a4-91344389c925, Nodes: a34d6010-32bf-4837-9233-3956f60af520{ip: 54.192.89.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d40b1e55-3559-4ef2-9256-7334ba6307c3, Nodes: 859eba4a-19e6-42aa-9980-a352b5bab9fe{ip: 115.166.66.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2fad034e-ae3f-4152-8d4a-48553a067b39, Nodes: d77cdc0d-1376-477f-85b1-590f9d3563ba{ip: 149.77.44.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3d838abf-c5f4-4057-8b59-c243ddf87229, Nodes: 859eba4a-19e6-42aa-9980-a352b5bab9fe{ip: 115.166.66.197, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0c72c98-9c94-4db7-ad09-b4e945e07b0b, Nodes: 1b84efd8-112f-4de1-ae55-d6c496a0175d{ip: 93.24.31.125, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1db4c625-9b1a-4346-9820-c09ea0d0395e, Nodes: 1bab9a8e-edc4-447b-a0d9-edfa6ff1fa42{ip: 108.212.237.194, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,298 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 447d0f2a-b2b4-4d4e-af8d-3f6c69f36157, Nodes: a34d6010-32bf-4837-9233-3956f60af520{ip: 54.192.89.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,300 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f31e91eb-0c60-4834-b1ab-1ea7b781c3d0, Nodes: 5f53866b-ceaf-4a54-964b-6462fcb6d7a7{ip: 21.128.165.13, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 03:31:15,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f1a881a-5da9-43af-87e6-f2578361d58e, Nodes: 1b84efd8-112f-4de1-ae55-d6c496a0175d{ip: 93.24.31.125, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
