2019-06-17 14:54:34,533 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:34,772 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:54:34,773 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:54:35,219 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b01e1159-f3cb-4d6e-beac-3dc5718039dd, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,220 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 301c5d7b-7eac-4173-9e5e-629e4c3e4657, Nodes: 32f66e0e-5da4-42a5-afef-ad26808c4575{ip: 233.131.135.238, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,221 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 04584ac9-2de1-4043-9c85-f67f659b8090, Nodes: 5b0ab174-36b6-4c68-be67-a67aba31d85a{ip: 136.122.166.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,229 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00629637-77a2-4f81-b7fd-31107b5ab335, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,230 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ea9749e-6c94-4ffa-a52e-252d18aaf30c, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,232 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0aa092c4-1665-4606-abe4-da90a35bc25e, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,232 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c4c22edc-5408-453f-ae50-3ba76d721033, Nodes: 30a93007-b423-4ed9-9670-ef9f5a15e77f{ip: 248.107.192.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,234 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1772a78f-8bae-4932-9e80-78d759120a07, Nodes: 4c2565a8-6a47-4e2f-ba68-0823af476531{ip: 141.255.52.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,236 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95f2090a-5be7-4a1a-8876-a2c8a4104682, Nodes: 5b0ab174-36b6-4c68-be67-a67aba31d85a{ip: 136.122.166.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,236 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1246c195-5c2f-40ee-87fc-af01e6551eac, Nodes: b0cc9993-eab1-490d-b5a6-febb60c61939{ip: 229.124.145.85, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,237 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1805de20-626c-4ee9-85af-b27f08bf399a, Nodes: 34ca787f-1749-400d-be62-6ee329ce49bc{ip: 75.213.60.251, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:54:35,238 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d33dd4f-9784-40b7-ba0d-a2a1a7907363, Nodes: 5b0ab174-36b6-4c68-be67-a67aba31d85a{ip: 136.122.166.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
