2019-06-18 04:30:55,800 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 04:30:56,355 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7939c2b3-dfe2-4021-8447-2b43f6b65e1e, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,356 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7d047879-bf90-4adc-bb29-c874fab8547f, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,358 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f35d63f5-3a39-457a-87dc-9e904a23706c, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,359 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 034580a5-c658-4af5-8f1b-fc5a9913a702, Nodes: 4ea2b856-b382-4363-adcd-124941efb202{ip: 192.219.172.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,359 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7fafdea0-32ff-495b-a3ad-0ef87da17cd1, Nodes: c489f549-1a5c-428c-b7c1-3f05617d54b4{ip: 114.114.164.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,360 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8ff1f185-4fc4-4647-a544-0203e0da6427, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,361 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 007f2a3f-d48d-4666-b93a-32f90dff63cd, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,361 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d3eaec34-0993-4f37-bd7f-81a72217004a, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,362 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5724bde0-889a-4de4-96fb-94224e714278, Nodes: 4ea2b856-b382-4363-adcd-124941efb202{ip: 192.219.172.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,362 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a59a398-8b1d-46e2-933f-de159f48c8a0, Nodes: bb196f80-0aea-4965-af86-3f173cf6c84b{ip: 225.232.90.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
