2019-06-17 10:34:31,724 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 10:34:31,899 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 10:34:31,900 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 10:34:32,225 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cf43ee2c-96b0-4ac4-8df9-2380f60bc676, Nodes: d565af49-559b-4c81-85c7-7bdc199e3bae{ip: 182.26.153.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,230 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 73f022d9-1cce-4255-afd0-11e355b1fa66, Nodes: cd3afdfd-b244-4aaa-81f0-0e8ed5aa2766{ip: 15.25.106.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,231 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2cbd9edc-381f-4222-ab4f-d03ead7811d4, Nodes: 83a28012-0d69-4e91-89a3-d7440f1fb3f7{ip: 253.104.79.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,232 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa7adc2a-fade-4141-a4f5-a0cb3990d3a3, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,233 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 05758a0f-8273-481b-83b2-e47c006183cd, Nodes: cd3afdfd-b244-4aaa-81f0-0e8ed5aa2766{ip: 15.25.106.101, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,233 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eed10709-32ab-4840-a2a2-634afe092466, Nodes: edefcaee-88a4-4010-9bf4-3a12964d31d2{ip: 163.125.128.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,234 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ffedd600-3a08-4191-990e-92f9d81ae7d5, Nodes: d622d2ea-8502-4e42-8db7-79d34a723bff{ip: 83.187.92.186, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,235 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b4576e3f-b6a2-46c7-bc39-65853ee68f11, Nodes: d565af49-559b-4c81-85c7-7bdc199e3bae{ip: 182.26.153.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,235 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 32474d56-97be-4b25-b45d-eb0f4665909f, Nodes: 83a28012-0d69-4e91-89a3-d7440f1fb3f7{ip: 253.104.79.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:34:32,236 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ebc5876-5321-4920-8618-be2f2c644129, Nodes: 4b7df9a1-12a7-4700-84bc-ea39f5770a5d{ip: 254.246.125.223, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
