2019-06-17 08:55:44,973 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 08:55:45,482 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e87b7e3e-0618-4798-aaf1-d1c7e3c243f6, Nodes: dd7c3732-6ec9-4bbe-abf0-c12b9c60602e{ip: 161.114.6.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,483 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: db890999-7527-4c56-920a-1c948deeab86, Nodes: 6ee85f51-7bdc-4c44-9e5a-db73f0760ade{ip: 181.219.176.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,485 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 050ea58b-1f37-4e5c-b6bb-4f088f59e055, Nodes: c05e3d72-c511-4b48-b522-93ac7368c7f5{ip: 223.127.75.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,485 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6c39425f-4c8f-43f6-b926-359a87acb401, Nodes: dd7c3732-6ec9-4bbe-abf0-c12b9c60602e{ip: 161.114.6.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,486 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 88fd5af1-cdba-4531-895c-6e41f2db4ff9, Nodes: f7c47e3f-a9ef-44bf-b029-aebdc9aa95b2{ip: 207.57.12.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,486 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5baeaaad-ec7a-4ee7-bd35-9e91e4d94ede, Nodes: 7db809c9-8df5-4c68-9b38-e3c417542deb{ip: 217.70.94.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,487 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c6c5ac8-b1a8-4080-8e6b-e94651a640af, Nodes: bd74c734-42a1-4fed-bd21-764d5b9f0336{ip: 58.141.249.174, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,487 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bba2c54f-c61e-436f-86ea-cf6b2638a78c, Nodes: a51d5196-ed12-4ff4-8896-a9fe5a0bb653{ip: 83.190.63.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,488 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 569d4982-08cb-4357-8450-2ae182423ed9, Nodes: bd74c734-42a1-4fed-bd21-764d5b9f0336{ip: 58.141.249.174, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,488 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00ddd9bb-ed43-4553-88cd-3798ea06c28c, Nodes: 6ee85f51-7bdc-4c44-9e5a-db73f0760ade{ip: 181.219.176.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,489 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f6d64b6d-fd96-450e-b877-fc9ae9999c69, Nodes: a51d5196-ed12-4ff4-8896-a9fe5a0bb653{ip: 83.190.63.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
