2019-06-17 18:54:04,822 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 18:54:04,995 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 18:54:04,996 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 18:54:05,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: adec56c8-08ac-4595-be91-e01bc2303013, Nodes: e593daae-ee41-47dd-9ab0-36e2cb6651c5{ip: 142.49.205.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,301 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa780207-65a9-4f2d-9419-904d64f6a4ba, Nodes: e593daae-ee41-47dd-9ab0-36e2cb6651c5{ip: 142.49.205.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,302 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19c993b2-5913-461f-8e3f-9839bf2623ff, Nodes: 0aa7898f-c0d6-42a7-9feb-fa93300084f8{ip: 28.74.150.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,303 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5852046f-4dc2-407c-8c32-858ae8ce5527, Nodes: 41294248-11aa-403b-ba7d-083cdd4aecfa{ip: 46.124.252.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1ab8e836-55af-445a-936d-4bd557648b59, Nodes: 9660c9ff-65aa-46e4-9729-d9dca894bb98{ip: 36.125.75.204, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,304 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 036866d6-529b-4c37-9169-a709401458f1, Nodes: 0157829a-5f77-418f-8e1f-a34fe9f30b11{ip: 243.105.77.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,305 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f27083b8-b2db-4738-a168-39202c24dd52, Nodes: e593daae-ee41-47dd-9ab0-36e2cb6651c5{ip: 142.49.205.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,306 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b09358a-3b8c-4689-8832-6a151593be46, Nodes: 5f452cec-69be-491f-b629-a37ca6847808{ip: 219.161.69.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,308 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e51eb1b9-39ea-4b92-b7cb-27b4bbed169c, Nodes: 0aa7898f-c0d6-42a7-9feb-fa93300084f8{ip: 28.74.150.168, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 18:54:05,308 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 556b3e2c-ff94-4440-bf17-1900db0c7a08, Nodes: 41294248-11aa-403b-ba7d-083cdd4aecfa{ip: 46.124.252.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
