2019-06-18 08:56:34,928 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 08:56:35,475 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bbea01c7-8623-48a5-82d5-111e7c98d1ad, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,476 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e19c2b8b-d9d9-48a0-8462-6bac55c175ac, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,476 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98553251-64b8-44cd-8bc1-7d5d075cee4c, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,477 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c978a0f7-0346-465b-aafb-7c5bc478437d, Nodes: 461dbbaa-b2c2-4824-94a6-177e83e9db09{ip: 128.68.132.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,477 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f0d6007-ff04-448b-9b5a-99973f2f1223, Nodes: fe3131e2-8e0c-489e-a2e3-6fa2fc1800e5{ip: 66.132.145.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,478 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46200e30-dee2-4700-9a1c-c7b5ce221406, Nodes: 461dbbaa-b2c2-4824-94a6-177e83e9db09{ip: 128.68.132.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,478 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8b3abd3c-6dd2-42ed-a794-10a6b48e0e29, Nodes: fe3131e2-8e0c-489e-a2e3-6fa2fc1800e5{ip: 66.132.145.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,480 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4e205b73-7e49-4de4-b0be-795c9e9f9618, Nodes: fe3131e2-8e0c-489e-a2e3-6fa2fc1800e5{ip: 66.132.145.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,482 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cec3638b-6050-4c60-8ed1-42c64763f2a2, Nodes: 69024bfc-e3ed-4dfa-9c24-0c0ee1fc26a0{ip: 33.98.206.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 08:56:35,482 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8719fc11-18e8-4113-9c59-c03bb419def3, Nodes: 20f0b767-6ecf-4e40-9d52-2b17156b0019{ip: 39.30.147.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
