2019-06-18 09:07:12,330 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:12,611 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 09:07:12,612 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:13,070 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e9d67483-ea35-4d3b-bc02-2b6be5014803, Nodes: fed3cdf6-3150-48ba-bf41-8c4414585db5{ip: 142.61.61.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,071 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f77cee8-7e15-42f3-b56a-b7a316dc311c, Nodes: 8de5f59c-74b9-47dd-a8ab-270df4501d6a{ip: 126.53.5.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,075 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4fd9ea59-0e3c-4751-aeb0-336cf051956c, Nodes: 8de5f59c-74b9-47dd-a8ab-270df4501d6a{ip: 126.53.5.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,076 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 84c126f9-4168-4e99-981c-84c8f982bc01, Nodes: 2b9afe69-c28e-4c15-a6a0-8c61e0f76b27{ip: 162.188.177.187, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,077 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f446f03-05d7-4741-ae20-d6454b8798a8, Nodes: dce49f3e-99d8-410f-a4af-66d6a29610e0{ip: 122.130.52.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,077 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d3ed932d-b565-4e4d-9a5a-7065daeaa40a, Nodes: dce49f3e-99d8-410f-a4af-66d6a29610e0{ip: 122.130.52.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,078 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4dc65d31-29f6-4f9a-950f-9c37e48a2cd0, Nodes: fed3cdf6-3150-48ba-bf41-8c4414585db5{ip: 142.61.61.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,079 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b32fc251-bf6d-407c-a235-35277ce52714, Nodes: 778d0410-6d77-4902-98c3-a3db077c25e5{ip: 128.44.162.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,080 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c882d4dc-0dd9-40be-880c-89e2bdc1e422, Nodes: 778d0410-6d77-4902-98c3-a3db077c25e5{ip: 128.44.162.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,081 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 639add0b-7d16-4804-9adb-4ca743bbc1a3, Nodes: 8de5f59c-74b9-47dd-a8ab-270df4501d6a{ip: 126.53.5.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
