2019-06-17 11:21:51,918 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 11:21:52,441 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a6e8fcb1-41d8-488c-9fcb-ee3e922ec429, Nodes: f19a2fff-f395-4a4e-ab55-e89a7f9e1bca{ip: 77.122.52.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,442 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7014f52-2e5a-4979-a730-df48614f10a9, Nodes: 4d87238b-1507-4454-a2b6-5dd86282ce3e{ip: 105.66.110.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,444 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ece2365-3013-4c58-b09a-67fe17f74081, Nodes: 22f53a76-d777-4ff5-8805-c959e09e4455{ip: 162.8.78.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,446 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 77a395d8-320b-42e3-95db-e679ffd48c99, Nodes: 22f53a76-d777-4ff5-8805-c959e09e4455{ip: 162.8.78.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,446 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a37b3b08-0e08-4211-a2d2-a8d49a4e8a36, Nodes: c32dd46f-55c6-41d9-b544-a48012a94231{ip: 8.83.89.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,447 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0c8e2eaa-7a85-4f67-b22f-11bf9a798863, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,450 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 30adbdbb-9285-4300-8260-20f5f7d67c9a, Nodes: 4d87238b-1507-4454-a2b6-5dd86282ce3e{ip: 105.66.110.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,450 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a98065d-6531-4c3a-8232-3a43e66d5dd0, Nodes: 1fc38fc2-ba47-4026-85b4-0c1f9fffb224{ip: 72.107.136.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,454 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2e813f0d-97be-4305-a6a6-b4f3534af0bd, Nodes: cef3226b-4d88-4cc5-8746-f7c7a4b19b9e{ip: 139.138.236.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,454 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b01bccb5-f1b4-48cc-9940-65df0e9cf433, Nodes: 1fc38fc2-ba47-4026-85b4-0c1f9fffb224{ip: 72.107.136.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,455 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8e7078e9-5ebc-4291-9e54-bb95766bfa58, Nodes: f19a2fff-f395-4a4e-ab55-e89a7f9e1bca{ip: 77.122.52.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,456 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 919f3b63-b4e3-444e-8274-5f37826d21f5, Nodes: 22f53a76-d777-4ff5-8805-c959e09e4455{ip: 162.8.78.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,457 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 063ecf92-ced0-41c4-b4be-e8c77925c058, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,457 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b48e5f12-741a-4efd-96d1-5c5b8b7bd294, Nodes: 4d87238b-1507-4454-a2b6-5dd86282ce3e{ip: 105.66.110.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,458 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 60590007-d9b8-4e18-9042-f28f3633dd04, Nodes: cef3226b-4d88-4cc5-8746-f7c7a4b19b9e{ip: 139.138.236.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,458 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c469e2c8-c15e-4358-9356-cab5a57c1cb4, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,459 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e8f9384-15f1-4b0b-8b77-d101963c888e, Nodes: 4d87238b-1507-4454-a2b6-5dd86282ce3e{ip: 105.66.110.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,459 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1d970465-56b7-486e-b9ce-1bc5bf9b28fb, Nodes: cef3226b-4d88-4cc5-8746-f7c7a4b19b9e{ip: 139.138.236.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,460 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2f5822e0-59d5-4010-b50d-cf9d00383b13, Nodes: 1fc38fc2-ba47-4026-85b4-0c1f9fffb224{ip: 72.107.136.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,460 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2cc1c775-a4b6-4be4-acf9-566df7b8b613, Nodes: 1fc38fc2-ba47-4026-85b4-0c1f9fffb224{ip: 72.107.136.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,461 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 351c90b7-ae43-4346-b62d-1e9c3de15928, Nodes: 22f53a76-d777-4ff5-8805-c959e09e4455{ip: 162.8.78.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,461 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9841571a-2681-431d-ad9a-47f2328fbcbb, Nodes: f19a2fff-f395-4a4e-ab55-e89a7f9e1bca{ip: 77.122.52.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,462 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de6236b4-d1ad-4c20-a5ee-46ac1f6a684d, Nodes: c32dd46f-55c6-41d9-b544-a48012a94231{ip: 8.83.89.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,462 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d572c00-d6e3-4753-8db6-2fc45d45622a, Nodes: f19a2fff-f395-4a4e-ab55-e89a7f9e1bca{ip: 77.122.52.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,463 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e96262a8-49b4-4563-b872-ec23fd756f55, Nodes: 22f53a76-d777-4ff5-8805-c959e09e4455{ip: 162.8.78.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,463 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 143a5c73-01ae-4658-ab92-b403142380fb, Nodes: f19a2fff-f395-4a4e-ab55-e89a7f9e1bca{ip: 77.122.52.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,464 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31dcecaa-bfac-4eb6-ab2e-b1881a538385, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,464 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 17dcb0c2-425e-490e-bd48-7d1e692b998a, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,465 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9018bff-7e2a-4caf-bfd2-559f6827ce33, Nodes: c32dd46f-55c6-41d9-b544-a48012a94231{ip: 8.83.89.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,465 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08b33275-da1a-4aa7-8379-a54b8198647f, Nodes: c32dd46f-55c6-41d9-b544-a48012a94231{ip: 8.83.89.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,466 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b955e080-e697-4a32-91b8-2c656499b24f, Nodes: cef3226b-4d88-4cc5-8746-f7c7a4b19b9e{ip: 139.138.236.4, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,467 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d07d5734-b73e-4c93-81b0-dad6c8a679d7, Nodes: 22f53a76-d777-4ff5-8805-c959e09e4455{ip: 162.8.78.167, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,467 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b6a0336-41ed-48c4-b9b3-326ab95707b3, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,468 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8f65a6b2-e0f1-47ab-a2cf-1b9c7130956e, Nodes: 4d87238b-1507-4454-a2b6-5dd86282ce3e{ip: 105.66.110.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,469 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e85822ad-f7d1-400f-9440-a79ce5463302, Nodes: 7c95b4d6-4abd-4a2b-a07b-af533f99e197{ip: 47.36.240.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,469 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 440de584-40a2-473a-82b0-b0e27bffcc57, Nodes: 7c95b4d6-4abd-4a2b-a07b-af533f99e197{ip: 47.36.240.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,470 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4229040-d84c-4e7b-9969-718e92d220d0, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,471 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9c6a104e-5a2f-4393-a492-b772c62b24e4, Nodes: 1fc38fc2-ba47-4026-85b4-0c1f9fffb224{ip: 72.107.136.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,471 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 52430c58-e2a0-4ef6-a354-cd9a3c60a24a, Nodes: f19a2fff-f395-4a4e-ab55-e89a7f9e1bca{ip: 77.122.52.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,472 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83e7772d-b68a-4206-a0a2-499297dd46f6, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,472 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 71c9999d-cf8f-4984-8e84-13fd8626f561, Nodes: 7c95b4d6-4abd-4a2b-a07b-af533f99e197{ip: 47.36.240.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,473 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c919c0c0-bd54-47d7-b5e7-2b18b5e25e91, Nodes: 5ad102fd-0cb9-49b3-a4cc-dc9536b35067{ip: 151.232.165.26, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,475 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b59537e0-aeec-4d8a-be40-17991b081f75, Nodes: c32dd46f-55c6-41d9-b544-a48012a94231{ip: 8.83.89.171, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 11:21:52,476 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2109d3f9-d501-4c59-9411-4fb71a42bebb, Nodes: 7c95b4d6-4abd-4a2b-a07b-af533f99e197{ip: 47.36.240.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
