2019-06-17 14:53:57,688 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:57,847 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 14:53:57,848 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 14:53:58,179 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4218efb-4114-4ea7-9b2f-72a0615d74d4, Nodes: 12f48ad6-6ce4-4539-bcee-c0c680bc8aaa{ip: 8.64.223.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,180 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d06a6970-24ae-4e05-99c6-0e2b6808546e, Nodes: daf0d721-efe9-4e00-b64a-0673411e1928{ip: 30.153.98.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,180 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aec78ab3-7202-4be5-a882-5c38cf55d28f, Nodes: c9e3814a-cf23-41f4-8f8b-03ae33febf77{ip: 161.117.96.202, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,181 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 99eb794b-ac59-4990-a72e-7c893e98fcb7, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,181 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51b0d3c1-7f7b-44a3-93b6-fbdba3c7f3c8, Nodes: daf0d721-efe9-4e00-b64a-0673411e1928{ip: 30.153.98.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,182 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4240c4d7-9fa9-44ba-b703-cf30608c5e95, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,182 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29a1ae81-47ef-4a48-a2be-eaab4be71755, Nodes: f554b4a9-07dd-492f-9dba-48905d5bd16f{ip: 46.57.205.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,184 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2de9e929-5e0a-4a86-aa08-a4a51b2464cd, Nodes: 8b5d5afe-4486-40ff-b8fd-7d22b3cca1a5{ip: 145.118.244.36, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,185 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4075db3-633d-427e-9b0b-ffe5cbc0fe43, Nodes: da67bbf7-021a-4ca1-b8c2-5dbe3a1afe1c{ip: 105.3.56.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 14:53:58,186 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a10e0a52-c946-40df-8440-b94350f7bf8b, Nodes: 9cb934b7-0e35-4abd-9df4-45145c5c32db{ip: 177.167.209.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
