2019-06-16 20:15:53,623 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5459af3c-9860-4ecb-a70d-681a50b7b0ad, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,625 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 80eb0c59-e25e-4113-8901-54a9d71999c4, Nodes: ddcbb88c-b8f4-4100-95b3-79ac15bc4600{ip: 226.210.41.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,626 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01c5cd77-8361-428a-bcae-a58cc04f05f3, Nodes: 8ce9ba21-d891-45b0-b040-f13a43703654{ip: 236.177.242.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,626 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a78be60-57e9-462e-b550-4f3011b184f7, Nodes: 7b3f9247-e88e-47f2-ad45-84719b1cd0ac{ip: 249.169.77.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,627 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f2e44207-c882-4e5a-b970-9eeb2cf45564, Nodes: 80404945-3738-438e-aff3-c898399c397d{ip: 234.88.127.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,628 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bc011d06-5ac1-4295-8e6c-0d2cfb81f9c2, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,628 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a928a016-93fc-4a0e-9f94-f2bdd8de0c40, Nodes: 259b88a1-9de1-4a79-b851-d5c78fa3f5ba{ip: 124.255.115.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,629 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 105efd58-0a1d-4776-aa00-5bd929ceb02e, Nodes: 7b3f9247-e88e-47f2-ad45-84719b1cd0ac{ip: 249.169.77.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,630 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb086493-0eda-4740-9730-721a2b8c440e, Nodes: ddcbb88c-b8f4-4100-95b3-79ac15bc4600{ip: 226.210.41.9, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:15:53,631 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f7398d16-8c30-4e8c-beb1-02a55070baa0, Nodes: 80404945-3738-438e-aff3-c898399c397d{ip: 234.88.127.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
