2019-06-17 09:43:10,802 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:43:10,958 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 09:43:10,959 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:43:11,278 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51c728be-8eb1-4aab-8430-be0a07d430c2, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,279 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0e352b1d-02cb-4793-89f6-e37c7d2a0061, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,280 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 97da2757-fadf-45d7-b06e-88b4b74a8194, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,281 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 573403d6-2d4a-424f-9fcb-14311d31e446, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,281 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7543c260-9362-4e27-84b7-ed137f890db2, Nodes: 31f5d14d-d3ae-467f-a426-33ba284d45a2{ip: 205.138.135.198, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,282 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a4e45d0-2cd8-46ab-a266-6aa70e53ab63, Nodes: fa676437-f64a-4ee4-883f-e15a94c316e9{ip: 43.25.245.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,282 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 65cf5ffb-d80a-425b-bcc8-24455b166bd7, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,283 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 900994aa-5d96-44ea-8211-90a3263d2042, Nodes: 2ac9946f-addf-4ae5-99f0-65b12f45bbae{ip: 223.86.255.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,283 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2b05052c-48bd-4b8c-9495-b2b00aa45694, Nodes: 3982294c-6925-4593-8e9f-70a8b40f4f8b{ip: 169.81.142.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,284 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e231ad04-8b9a-46e3-b008-f2afeca672f6, Nodes: 26d8fa27-b439-4555-b4b3-02ee5c322155{ip: 236.135.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:43:11,285 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cfeee78b-e5dc-403d-9223-d0fa7c55fa91, Nodes: 948f6501-573d-4da3-9997-1181642735ca{ip: 73.173.111.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
