2019-06-17 00:40:46,964 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43be63ad-cf57-42a7-9d14-1a117044f1ea, Nodes: 16572fbc-537a-4d94-a603-3b36e453567e{ip: 130.206.111.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,965 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 933b1002-9179-45d8-94ee-74eec7f2133e, Nodes: 16572fbc-537a-4d94-a603-3b36e453567e{ip: 130.206.111.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,966 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 475ed988-f6f4-42d0-9076-50e6e35a78d1, Nodes: 62c3e553-6702-42e4-ae29-4f7015ef9d44{ip: 80.231.211.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8cd1279d-e7f1-48e6-914a-ac11cacccdd8, Nodes: 98d6c13e-cf20-4d68-9a9a-af1686bbdb82{ip: 32.145.250.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,967 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a6d9b041-ef26-4dcf-8d55-625a6122a8a6, Nodes: 62c3e553-6702-42e4-ae29-4f7015ef9d44{ip: 80.231.211.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,968 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d61a01c3-e491-43b5-b8b5-330fb905b8de, Nodes: 16572fbc-537a-4d94-a603-3b36e453567e{ip: 130.206.111.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,968 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 54829ae1-b6dc-488c-a3b5-badd152d90cc, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,969 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c36dc840-fd94-4a1d-bdfc-3b392191918a, Nodes: a9fcc31a-9ad4-4acd-8c0b-46adc249acb2{ip: 214.56.130.25, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,970 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 143e3410-8b3f-429d-a015-d4400a4b5116, Nodes: 98d6c13e-cf20-4d68-9a9a-af1686bbdb82{ip: 32.145.250.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 00:40:46,974 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb2946c0-abfc-4e6e-a05b-bd05446b1ae0, Nodes: f909ddf9-0728-4a23-806a-8149110919a8{ip: 15.234.126.48, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
