2019-06-18 05:56:32,723 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d267b4d-421a-490c-ac7f-e07ce57fb54d, Nodes: 3040131a-28ed-4a25-bee3-6c0a3beb5d22{ip: 184.210.210.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,724 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f9600aac-9f71-4700-b717-47424c84f1dd, Nodes: 21c704a0-f73b-45b4-891f-d5a7ff05088c{ip: 170.134.227.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,724 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 69189a86-23a3-437e-8b42-78804bbfc4a9, Nodes: 92ec1d3d-aa40-4fb4-9461-ee88a1e1bb18{ip: 56.140.22.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,725 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1f9276b3-005c-47c7-9115-203893104ee9, Nodes: 21c704a0-f73b-45b4-891f-d5a7ff05088c{ip: 170.134.227.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,725 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8171f3d2-bcef-4457-b1e2-5fa3b20093a6, Nodes: 2acd99ee-858b-4d89-99b4-9f5627b41248{ip: 68.144.45.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,726 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0674b562-e5e6-4fb1-af6a-a57e9effbcb1, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,726 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 350d0457-db97-48c4-8f6d-f07d5567c3b4, Nodes: 92ec1d3d-aa40-4fb4-9461-ee88a1e1bb18{ip: 56.140.22.45, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,726 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6365289b-7f86-4e39-b214-11fc0551176e, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,727 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 190f6ab3-c3a0-417b-95e8-2fdd32ac6dc6, Nodes: 55af961f-9216-4a81-9995-7ab4eedcdf00{ip: 20.60.53.236, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,728 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e03ff95-74ff-48f9-988e-3d3ea494534f, Nodes: 2acd99ee-858b-4d89-99b4-9f5627b41248{ip: 68.144.45.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,729 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 733cf2b9-b1b5-49d6-9242-8077a81b531c, Nodes: d54c1a8d-fdb9-4a44-8e41-33c1baf26748{ip: 61.237.20.0, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,729 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 535770b1-e4d3-43f5-a272-d70e156ae51c, Nodes: 21c704a0-f73b-45b4-891f-d5a7ff05088c{ip: 170.134.227.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,730 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e0913ede-4897-4094-ba68-5d847b1ee9b8, Nodes: d54c1a8d-fdb9-4a44-8e41-33c1baf26748{ip: 61.237.20.0, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c3ae2635-b94e-444b-91a3-dc5caeff99a4, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6252e4bf-a936-4910-8de7-122d25bb09a3, Nodes: 1093c882-56b4-4fec-ab10-67292ebc619b{ip: 229.12.3.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,732 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 625ce9fc-c342-428a-bf3b-d08de6a101be, Nodes: d54c1a8d-fdb9-4a44-8e41-33c1baf26748{ip: 61.237.20.0, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,732 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 850e949e-1678-418c-b815-0f5afebdabd6, Nodes: d54c1a8d-fdb9-4a44-8e41-33c1baf26748{ip: 61.237.20.0, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6d3d215-c167-49d4-bc4a-b06634033cce, Nodes: d54c1a8d-fdb9-4a44-8e41-33c1baf26748{ip: 61.237.20.0, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba337b64-d2e1-4e0d-82a5-bb7d8fa62aa1, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 534fa743-1fde-409b-863f-b2615ae0601e, Nodes: 21c704a0-f73b-45b4-891f-d5a7ff05088c{ip: 170.134.227.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b05e3db-4acc-4825-babf-6b9dead1ea95, Nodes: d54c1a8d-fdb9-4a44-8e41-33c1baf26748{ip: 61.237.20.0, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79ca14cf-b134-4e36-be64-7bcc2dafb4c3, Nodes: 21c704a0-f73b-45b4-891f-d5a7ff05088c{ip: 170.134.227.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 599b6fe5-da2a-4044-8131-02c3531d0f72, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1893551-7d20-4317-8b34-0124b16863f1, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dbc80b8a-679d-4bb0-92f0-6a2ca073d542, Nodes: 3040131a-28ed-4a25-bee3-6c0a3beb5d22{ip: 184.210.210.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8c091562-ed14-454f-807e-45c6d0c8453f, Nodes: 3040131a-28ed-4a25-bee3-6c0a3beb5d22{ip: 184.210.210.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5757ee06-85de-4810-976c-a7548ed74f61, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa26537f-5152-44dc-abf0-9a72afdfb270, Nodes: 21c704a0-f73b-45b4-891f-d5a7ff05088c{ip: 170.134.227.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,739 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28cc4f4d-ae6b-4f44-8d05-4e9a03173813, Nodes: 3040131a-28ed-4a25-bee3-6c0a3beb5d22{ip: 184.210.210.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2adbb61c-f2be-4130-b1c2-b8c374d70b6e, Nodes: 21c704a0-f73b-45b4-891f-d5a7ff05088c{ip: 170.134.227.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3e54365a-61c2-4d09-87da-6d04d23c9e67, Nodes: 1093c882-56b4-4fec-ab10-67292ebc619b{ip: 229.12.3.224, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d5cfa2e-1ad6-4a7e-9b8c-6c614887e026, Nodes: 2acd99ee-858b-4d89-99b4-9f5627b41248{ip: 68.144.45.3, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:56:32,743 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e31d49a1-bf71-4779-ad4f-0ff6d36c6538, Nodes: 0919de6f-1df9-45de-bfa3-7cb6b8b7913f{ip: 100.234.168.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
