2019-06-18 04:01:36,623 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 04:01:36,912 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 04:01:36,914 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 04:01:37,432 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 02b92340-4a63-42bf-942a-703c5e3b3ef6, Nodes: bf817c7a-85a8-4b8a-b4f8-cbc188bd12c3{ip: 145.203.253.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,433 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 394fc356-3dea-4dad-88e4-dc43a0a611cf, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,434 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1383886d-855a-4bd5-997a-57a275932860, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,435 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7395dce3-a4d5-4de9-b59c-62777b1b6caf, Nodes: 4b84f109-b993-4c2e-b807-e096faae63f2{ip: 42.151.4.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,436 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 86212176-39c7-41f3-a0f6-5d34235ab6fa, Nodes: daa0051a-88ea-4101-866f-669a509e344a{ip: 152.243.92.182, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,438 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0b9c31c2-741a-4c0b-9da7-84aeed0048ed, Nodes: a869620b-5933-4b08-acb6-756798376924{ip: 7.163.230.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,439 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9a42b6f8-6b5b-4f4b-acc2-4e5f9621452b, Nodes: 894a3a63-0318-47b2-a4f9-7490e12eb246{ip: 86.15.51.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,440 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19bf36ca-69bc-40f0-a5ed-3f1bccfa5525, Nodes: bf817c7a-85a8-4b8a-b4f8-cbc188bd12c3{ip: 145.203.253.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,441 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f0a1d33-af28-4ce4-ad25-2f065fe45580, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,442 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e54376ea-b92d-4835-bdcc-d21ad4143639, Nodes: daa0051a-88ea-4101-866f-669a509e344a{ip: 152.243.92.182, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,442 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 474eb0bd-b092-45fb-8135-5f4d7e2db3f8, Nodes: 894a3a63-0318-47b2-a4f9-7490e12eb246{ip: 86.15.51.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,443 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28138a01-b380-4782-a373-643c57fa5a32, Nodes: 30bcfb16-2bf4-4c67-920c-2475f5aedb35{ip: 26.75.239.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,444 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29b438a3-9785-446f-9e98-12da8ee27d56, Nodes: bf817c7a-85a8-4b8a-b4f8-cbc188bd12c3{ip: 145.203.253.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,445 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b39c3c20-5212-4d2c-916d-0b827179f04d, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,446 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a3e03fd2-d046-4d3c-b19d-889e74aa810e, Nodes: 745b5bf6-dd28-49c0-ad32-ae5ed71636f7{ip: 9.163.32.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,446 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 356576e5-716e-4005-b8b9-f696a816318b, Nodes: 30bcfb16-2bf4-4c67-920c-2475f5aedb35{ip: 26.75.239.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,447 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6367f446-86c7-4587-b7cb-5ee3101d2690, Nodes: 4b84f109-b993-4c2e-b807-e096faae63f2{ip: 42.151.4.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,448 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 819db748-3124-4a69-b238-c816add1ba02, Nodes: a869620b-5933-4b08-acb6-756798376924{ip: 7.163.230.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,448 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a6055a8-04c4-4e46-a8b3-84bc79c15f42, Nodes: bf817c7a-85a8-4b8a-b4f8-cbc188bd12c3{ip: 145.203.253.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,449 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 76cb191b-4fad-42c4-89b0-e36d914f78ac, Nodes: 745b5bf6-dd28-49c0-ad32-ae5ed71636f7{ip: 9.163.32.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,450 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fce6eb18-edea-4ace-920d-4d26625f2deb, Nodes: 4b84f109-b993-4c2e-b807-e096faae63f2{ip: 42.151.4.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,451 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21e32a9b-1190-4d41-ba84-3b5f5213dfb0, Nodes: 894a3a63-0318-47b2-a4f9-7490e12eb246{ip: 86.15.51.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,451 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d6bd921f-13f7-4cc6-a3a7-f6d9eb071a21, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,452 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c4c4e58-1417-4dd1-9996-100f4b991b42, Nodes: bf817c7a-85a8-4b8a-b4f8-cbc188bd12c3{ip: 145.203.253.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,453 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2df65c4c-6dc4-4994-9a7b-e7533de0f5f0, Nodes: 30bcfb16-2bf4-4c67-920c-2475f5aedb35{ip: 26.75.239.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,454 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 97e78f2a-0b4e-459c-bd02-f2ac33f38cf6, Nodes: 894a3a63-0318-47b2-a4f9-7490e12eb246{ip: 86.15.51.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,455 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0827137-9591-4212-afbf-461bd076e80e, Nodes: 30bcfb16-2bf4-4c67-920c-2475f5aedb35{ip: 26.75.239.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,455 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 479c768f-6da4-4e6f-9730-c1b7dba91663, Nodes: 894a3a63-0318-47b2-a4f9-7490e12eb246{ip: 86.15.51.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,456 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c20a5d9-af71-4658-9f2e-3c72e65bd79c, Nodes: 4b84f109-b993-4c2e-b807-e096faae63f2{ip: 42.151.4.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,457 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82ce27bc-45b0-40fe-9302-d2a13e58bb12, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,458 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4d4ffe2b-4239-4a6d-b9b5-cde963287e78, Nodes: 4b84f109-b993-4c2e-b807-e096faae63f2{ip: 42.151.4.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,458 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c8c501b1-1dad-4ac0-a7d9-46064cab15d5, Nodes: daa0051a-88ea-4101-866f-669a509e344a{ip: 152.243.92.182, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,459 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e019334e-5a42-4a85-b4f9-abcb573139c9, Nodes: 894a3a63-0318-47b2-a4f9-7490e12eb246{ip: 86.15.51.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,460 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5bea5488-3c67-44ca-b8d8-784d1f16360f, Nodes: 745b5bf6-dd28-49c0-ad32-ae5ed71636f7{ip: 9.163.32.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,461 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ddb244a9-4db3-4fa1-bd0d-b7640c44b55c, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,462 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 72a38d14-6baa-4481-b47b-12c3f81896cd, Nodes: 745b5bf6-dd28-49c0-ad32-ae5ed71636f7{ip: 9.163.32.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,463 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3b4c32f7-5293-4f43-858c-8cd4a99e7dd6, Nodes: 745b5bf6-dd28-49c0-ad32-ae5ed71636f7{ip: 9.163.32.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:01:37,465 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82e42464-5b9c-4560-a96e-04b1447861c7, Nodes: 68d59d78-73cb-4b20-a518-1c470bf6c0c6{ip: 67.252.76.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
