2019-06-17 05:18:56,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 05:18:57,315 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5cc86d88-b893-46a1-8aba-f928838888fd, Nodes: 0a7418d9-8c04-490e-bc20-5d6cac792718{ip: 152.15.164.22, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,316 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d98169a5-a29f-4cbb-a571-4cb3a89db676, Nodes: 0a3435c6-2885-4dc5-92af-e55a72902131{ip: 126.133.129.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,317 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2707cb1b-6c98-4e31-a87b-8e98b3714ea6, Nodes: 929de23c-1c83-43ee-b1f4-068f803795b9{ip: 188.126.38.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,317 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6e102206-a145-46f1-9247-5ae2c026c787, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 71f887ba-5c51-4bf2-9a98-05b1bd55f20b, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b5b4c08-d31e-4992-a8f0-f220a225fe0f, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,319 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 03477762-1a62-48af-a7d1-64ef73d80579, Nodes: 5e0e557d-f226-4eca-a5d8-5bc85d23d3f2{ip: 91.171.57.136, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,320 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd453f2e-d9e4-466b-bdbf-7f7a5d037b97, Nodes: 929de23c-1c83-43ee-b1f4-068f803795b9{ip: 188.126.38.6, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,321 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d8d1b19-a21e-42e1-914d-ae24a3b71cba, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,321 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5a20214e-1070-44b8-b0ed-10a230ab7a5f, Nodes: 2a45af83-4f55-46f5-b0da-033c3112867d{ip: 139.152.51.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,322 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ad0999cf-3adc-487d-adb5-e21eb4e5a266, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,323 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 19eb23aa-1952-44d5-b15f-69bfdd1539e7, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,323 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3202724-6e23-4a86-8aa0-d1ddede16e30, Nodes: de6df4cc-3a48-4407-a0bf-bb13992e7d62{ip: 64.128.149.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,324 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 59c91ea7-d9a2-4d2f-b6b2-5ae828a69570, Nodes: 0a3435c6-2885-4dc5-92af-e55a72902131{ip: 126.133.129.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 05:18:57,324 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 437518a6-f6f2-4ec9-810f-cdb5140f2eaa, Nodes: 2a45af83-4f55-46f5-b0da-033c3112867d{ip: 139.152.51.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
