2019-06-16 21:23:21,815 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:23:21,971 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-16 21:23:21,972 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 21:23:22,285 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f777eec5-8366-47d1-81c6-582de51537c8, Nodes: d8cd6d09-c33e-4335-b211-b2c9f7922454{ip: 73.108.24.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,286 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0ac418e-4694-47a3-9ad9-59a87774800b, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,287 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 47917708-70b2-4230-9e92-1b5076212dbb, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ebc87ca9-8de9-4b7c-8e3c-3f8c4284d595, Nodes: 6a724f5b-b6cb-4804-8349-f0233e07bd78{ip: 165.56.239.248, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,288 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1e7123f1-b23e-442c-bdb4-ce9a5bd11817, Nodes: 3f707bee-aca4-4387-8f9f-6b0df11e31b9{ip: 134.130.16.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,289 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 252aade8-5b14-4e6f-9f6a-a1173e4b01ea, Nodes: cb496961-1f53-4cb2-bf1d-1297ceb931f8{ip: 88.18.107.97, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,289 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d52b6bb-03e3-4d7b-a392-eaaf518b19a1, Nodes: fd46bf75-3bf5-424e-83bc-da3e0464de6f{ip: 223.140.78.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8b650a8-c7fa-40d7-aa1c-d7d5e706285f, Nodes: 96b27fcf-f229-4181-b65f-7a1859245368{ip: 52.49.87.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,290 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2eef106f-d859-470e-ace9-209f1d38839b, Nodes: 3f707bee-aca4-4387-8f9f-6b0df11e31b9{ip: 134.130.16.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,291 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 20dda388-9a57-4632-8c68-a43aa41316c9, Nodes: 807d3eab-584f-46f7-90ad-42e3f6c4fc0a{ip: 152.86.27.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,293 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7fae764a-8fa2-4b5f-9452-a4a38194f06a, Nodes: 807d3eab-584f-46f7-90ad-42e3f6c4fc0a{ip: 152.86.27.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b1828c3b-b524-4c04-bb5f-8006c65bae1e, Nodes: 3f707bee-aca4-4387-8f9f-6b0df11e31b9{ip: 134.130.16.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,294 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea04eec0-7b19-426e-97f1-24a7b64c39e7, Nodes: 807d3eab-584f-46f7-90ad-42e3f6c4fc0a{ip: 152.86.27.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: abcf0025-9d60-46ac-b883-cca0477da73a, Nodes: 6a724f5b-b6cb-4804-8349-f0233e07bd78{ip: 165.56.239.248, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,295 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 552ba3b5-7863-4991-b27e-8f4894a92395, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1585b60-69c1-4a47-acb6-a8be7e069eed, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,296 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 640e4c83-2955-4399-bcb0-e2feca9b9bac, Nodes: 3f707bee-aca4-4387-8f9f-6b0df11e31b9{ip: 134.130.16.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 630317f4-7b89-4b3d-91a5-d1759c05c2bd, Nodes: 0f3c7658-c4b8-4caf-9fac-4e5412d8d149{ip: 77.85.215.128, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 21:23:22,297 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd0a9d33-f74e-495c-8daa-869e95757e24, Nodes: d8cd6d09-c33e-4335-b211-b2c9f7922454{ip: 73.108.24.49, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
