2019-06-16 20:12:04,610 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00c7e4ef-ddad-4c0c-9732-ff3215e67953, Nodes: 05a97507-d314-4a7c-870e-811b8f2e7610{ip: 110.242.95.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,611 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a651f00-ce53-4c31-a8ab-fa2e58ac2921, Nodes: 7cd9597e-9e7f-4ef8-afa2-4b875129e465{ip: 140.212.47.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,611 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5fd52d5-0ef2-422e-bc7d-3a731d95b09b, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,612 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9c994cf-c8e1-486d-81cb-fe6a9fe1ae22, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd165028-5696-4526-90cb-fdf8d96e495c, Nodes: 967afe4a-3d99-417a-af83-bd995193a864{ip: 184.109.18.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,613 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d9b5460-421f-454c-aa5d-4a033e8a9c58, Nodes: 60efe2a1-4949-4063-ae01-c2bb029571e5{ip: 182.186.141.173, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,614 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4f2004cb-7758-45b7-8e93-a80f2210c89a, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,615 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0a8d92a-5f33-4a01-bdc8-6e069a9b1eeb, Nodes: 80f99fec-3c53-4d3d-b9db-d2d438df08f5{ip: 73.143.145.73, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,616 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d5f23dd8-0487-4258-8968-a1f4c565afdc, Nodes: 6c2f0ba7-d901-4f50-a346-2f23aa3af451{ip: 182.90.122.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 20:12:04,617 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: aa8dce18-1daa-4ac6-8299-ad4c2062b47f, Nodes: 04caa853-0987-44e4-bbea-4c412dd741cd{ip: 136.165.231.142, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
