2019-06-16 23:04:30,718 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 472e300e-2757-49e9-8926-5e1373823d87, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,719 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0efb064-fee4-48de-818d-0be8bc386783, Nodes: 48b6cea4-3d4b-45c9-97c5-d79347540f8b{ip: 166.193.163.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,721 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5831107-28f0-413a-afb6-0a4f9c64a7e7, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,722 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 73bdf08d-89b2-4b5a-9c9a-5c448ad44779, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,723 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4e1c160c-6e75-42c2-a39b-0a8eba1af0ea, Nodes: 2e961d0d-d895-46cb-9c0e-385efdba0382{ip: 43.195.68.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,724 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 952b34fc-2722-4357-b269-f79d7e827be1, Nodes: f69639cd-aeaa-4845-955e-0590e739d802{ip: 32.151.118.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,724 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 98966822-78c9-423c-b8d7-ef23b7dc6c95, Nodes: 48b6cea4-3d4b-45c9-97c5-d79347540f8b{ip: 166.193.163.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,725 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 543e59b4-6112-4a3a-950b-c9a145020c8c, Nodes: dd80e454-aee4-4479-8a55-c98505a16ea2{ip: 81.202.46.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,726 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a609d7eb-d2fc-41c5-b8b1-d081d2d63629, Nodes: 48b6cea4-3d4b-45c9-97c5-d79347540f8b{ip: 166.193.163.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,727 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: edbe2b9a-c5b6-495d-9495-72428bfd98ea, Nodes: 69057112-fb91-473d-b495-f2314f748b66{ip: 204.197.176.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,728 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 46a528ce-7686-4e75-8656-ce5ae166bf08, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,730 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08857089-74bc-4006-bcd2-01f5f02ee3ad, Nodes: 3a93a141-f0f9-45bb-93eb-276fbc8eabc6{ip: 49.142.17.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2eaad41c-f896-40a0-8b12-9a684d0e7adc, Nodes: 26633397-283a-4799-a636-b579a606381c{ip: 213.250.134.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab98544d-6b04-47e6-b009-5fc02ef57b9c, Nodes: 26633397-283a-4799-a636-b579a606381c{ip: 213.250.134.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,732 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5cbb2410-4f6c-4487-b527-81b6e112a878, Nodes: f69639cd-aeaa-4845-955e-0590e739d802{ip: 32.151.118.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e89ff2d-b76e-42f9-b3b7-c6a991f91d92, Nodes: 26633397-283a-4799-a636-b579a606381c{ip: 213.250.134.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ba71230-55c3-4f8d-a5a2-ddc5c555267a, Nodes: dd80e454-aee4-4479-8a55-c98505a16ea2{ip: 81.202.46.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2e3ba26f-e95f-4308-acd5-3a63b77e27fc, Nodes: dd80e454-aee4-4479-8a55-c98505a16ea2{ip: 81.202.46.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 647fde93-612c-4f38-a4d0-6110fd4fd8eb, Nodes: f69639cd-aeaa-4845-955e-0590e739d802{ip: 32.151.118.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 838753f7-067f-442f-9eb9-015bf3043f54, Nodes: f69639cd-aeaa-4845-955e-0590e739d802{ip: 32.151.118.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6bed6ffb-6eee-4621-906f-6e9bf2e2eeff, Nodes: 26633397-283a-4799-a636-b579a606381c{ip: 213.250.134.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e4bdb6bc-aa8d-494c-a9a2-b43156b87986, Nodes: 3a93a141-f0f9-45bb-93eb-276fbc8eabc6{ip: 49.142.17.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4fea8822-2b1b-4f71-a494-aabf388c1dec, Nodes: 3a93a141-f0f9-45bb-93eb-276fbc8eabc6{ip: 49.142.17.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,739 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7abc9e1c-8bc7-428d-920b-1774c2507550, Nodes: 3a93a141-f0f9-45bb-93eb-276fbc8eabc6{ip: 49.142.17.94, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21700409-41bf-4380-871a-c451f6b4d8c6, Nodes: 69057112-fb91-473d-b495-f2314f748b66{ip: 204.197.176.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bf77e53b-5753-4105-b9b1-88786af14897, Nodes: 26633397-283a-4799-a636-b579a606381c{ip: 213.250.134.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,741 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7e62fd31-fcc8-454b-af26-69f3dac5c8df, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e6ae21e4-8e1e-406c-9ff8-f157fd0e18f1, Nodes: 69057112-fb91-473d-b495-f2314f748b66{ip: 204.197.176.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a61b661c-c6db-40f8-aad3-be3588ab3675, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,743 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 003ed3b4-9d98-45c7-bc2b-354a39d5342e, Nodes: 69057112-fb91-473d-b495-f2314f748b66{ip: 204.197.176.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,744 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 21f09ed9-4b80-450c-aaa8-9c555207ce22, Nodes: 2e961d0d-d895-46cb-9c0e-385efdba0382{ip: 43.195.68.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,745 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c5827d50-ca50-439e-82c0-9c28bee53b2e, Nodes: 48b6cea4-3d4b-45c9-97c5-d79347540f8b{ip: 166.193.163.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,746 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd36249b-0443-4df2-9360-ec1edaa8a8e0, Nodes: 2e961d0d-d895-46cb-9c0e-385efdba0382{ip: 43.195.68.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,746 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5546a929-f4ec-480a-90ba-817a04b41e64, Nodes: 48b6cea4-3d4b-45c9-97c5-d79347540f8b{ip: 166.193.163.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,747 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 940143aa-348b-4869-a81d-bbdc023b0fd6, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,747 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 57bb0a2e-526f-4a84-beeb-9af89aee816f, Nodes: 69057112-fb91-473d-b495-f2314f748b66{ip: 204.197.176.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,748 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: def95acd-e9e9-4dfb-95af-50600f177557, Nodes: 69057112-fb91-473d-b495-f2314f748b66{ip: 204.197.176.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,749 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3435db5-3580-4757-8d8d-f94153309bfe, Nodes: dd80e454-aee4-4479-8a55-c98505a16ea2{ip: 81.202.46.161, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,749 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ba437af-cd3e-4dc0-b718-3287360e4160, Nodes: 48b6cea4-3d4b-45c9-97c5-d79347540f8b{ip: 166.193.163.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,750 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c1b5da4f-f2d7-4bac-88dd-ae6ea7daa388, Nodes: 48b6cea4-3d4b-45c9-97c5-d79347540f8b{ip: 166.193.163.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,751 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 376c0709-e31c-48b2-a6a9-fda06125320d, Nodes: 26633397-283a-4799-a636-b579a606381c{ip: 213.250.134.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,752 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9fad1f19-2f26-4a02-b6f8-3d100d88107d, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,754 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7261dee0-94c5-47f9-87a8-6e3c3e9966f4, Nodes: 69057112-fb91-473d-b495-f2314f748b66{ip: 204.197.176.130, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:04:30,755 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 671dfcef-2d83-4776-a8c2-d78b23125059, Nodes: 03956824-c303-4219-92fe-4798253af98d{ip: 140.51.233.77, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
