2019-06-17 09:17:56,601 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:17:56,772 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 09:17:56,773 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 09:17:57,087 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fe9671a2-c4a9-41ea-b63d-0f37b2602991, Nodes: 93dfc435-fcac-462b-a144-29f8c0796e1a{ip: 228.15.226.179, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,088 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: de0a18f8-2522-4895-ae67-1c3505c72e43, Nodes: 45ec3832-f342-42c3-9fe2-b46acec13622{ip: 18.10.116.170, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,090 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c88b719c-8011-42b5-8e81-8342beafce50, Nodes: aa888a3b-d132-4730-b586-043a6f72c48b{ip: 203.226.52.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,091 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: caf0a06d-3634-4695-9afb-a30aff3b37df, Nodes: a89c2da4-654a-465d-940e-8147ec256a13{ip: 158.225.122.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,091 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f62d3add-279c-4ac4-a7c2-6c7bd9805687, Nodes: 805b5cc2-f67a-4b18-a040-d20ff0e4407e{ip: 109.53.92.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,092 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 076988b6-6e51-4193-aa8a-43c7032ba1ad, Nodes: aa888a3b-d132-4730-b586-043a6f72c48b{ip: 203.226.52.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,093 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7413f3b0-abb8-4395-a5e2-3196043d5a62, Nodes: 93dfc435-fcac-462b-a144-29f8c0796e1a{ip: 228.15.226.179, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,093 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 30ef38ad-1b5e-481e-a56d-80cbeff3a24b, Nodes: 805b5cc2-f67a-4b18-a040-d20ff0e4407e{ip: 109.53.92.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,094 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d0cf62e6-a628-42cc-88a0-3c27789a81dc, Nodes: 810255b2-086f-4dca-b06a-25a8d5be258f{ip: 184.21.29.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,095 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6505ba64-91e5-4151-988f-1134bac231f6, Nodes: 93dfc435-fcac-462b-a144-29f8c0796e1a{ip: 228.15.226.179, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,096 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5527272d-65bb-4224-bdd3-f8f30548d34b, Nodes: 810255b2-086f-4dca-b06a-25a8d5be258f{ip: 184.21.29.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,097 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 47085a0f-7114-46e3-a053-6a0db29ee622, Nodes: aa888a3b-d132-4730-b586-043a6f72c48b{ip: 203.226.52.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,098 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1911285a-2c8f-4e47-98c7-553c16a15cf5, Nodes: 810255b2-086f-4dca-b06a-25a8d5be258f{ip: 184.21.29.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,099 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2ccc83dd-fe26-42cf-a51c-9c345e8ec1d7, Nodes: 92c54928-e506-40d5-94b0-bb9b95e41cd3{ip: 160.220.147.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,099 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc6ce8cc-ad0b-4801-99e5-1d8e2f9cd8c9, Nodes: 3190fa88-82f9-45a2-b738-7876cf4b0887{ip: 133.125.249.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,100 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dcc9eb42-a420-43b1-86cf-1f1d556283a4, Nodes: a89c2da4-654a-465d-940e-8147ec256a13{ip: 158.225.122.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,100 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f27c9e2-228c-4331-895b-e1980069d105, Nodes: 805b5cc2-f67a-4b18-a040-d20ff0e4407e{ip: 109.53.92.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,100 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0ba07083-7524-47db-83ac-1b7c54ab1deb, Nodes: 3190fa88-82f9-45a2-b738-7876cf4b0887{ip: 133.125.249.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,101 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 844fb136-376f-4516-81da-61ff25b723a7, Nodes: 92c54928-e506-40d5-94b0-bb9b95e41cd3{ip: 160.220.147.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,101 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0ef57090-6184-4692-b5b8-35c4ffc89b85, Nodes: 92c54928-e506-40d5-94b0-bb9b95e41cd3{ip: 160.220.147.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,102 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38ef9b8e-7b57-4bf5-8e69-8e7e79f1e1d3, Nodes: 3190fa88-82f9-45a2-b738-7876cf4b0887{ip: 133.125.249.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,103 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3056be96-e6f4-4909-8399-ff672cc90345, Nodes: a89c2da4-654a-465d-940e-8147ec256a13{ip: 158.225.122.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,103 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: af8277be-96ef-4681-a6a0-d33c9af47a78, Nodes: 810255b2-086f-4dca-b06a-25a8d5be258f{ip: 184.21.29.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,104 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2a98029d-3e16-459d-85c1-803ceadfdb73, Nodes: aa888a3b-d132-4730-b586-043a6f72c48b{ip: 203.226.52.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,105 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d69fef74-19b1-48d5-a941-fa921c08354c, Nodes: 93dfc435-fcac-462b-a144-29f8c0796e1a{ip: 228.15.226.179, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,105 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd8303c1-9301-43f1-b1f2-e242d6b787f6, Nodes: 3190fa88-82f9-45a2-b738-7876cf4b0887{ip: 133.125.249.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,106 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5a30028-d87b-4254-8ba1-6e10e8ca1a29, Nodes: 805b5cc2-f67a-4b18-a040-d20ff0e4407e{ip: 109.53.92.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,107 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c530761-c434-4cf9-8df0-4c97dd9e9f41, Nodes: 810255b2-086f-4dca-b06a-25a8d5be258f{ip: 184.21.29.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,107 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38611697-dab8-4dab-ba67-0d7f7a273bed, Nodes: aa888a3b-d132-4730-b586-043a6f72c48b{ip: 203.226.52.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,108 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 25372cd9-779b-400a-94e3-e4c952751ccf, Nodes: a89c2da4-654a-465d-940e-8147ec256a13{ip: 158.225.122.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,108 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a808b49-87e8-43c2-96b4-4ac28a3090da, Nodes: 92c54928-e506-40d5-94b0-bb9b95e41cd3{ip: 160.220.147.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,109 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 160e1b99-722a-478a-b55c-9f8948435df9, Nodes: a89c2da4-654a-465d-940e-8147ec256a13{ip: 158.225.122.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 09:17:57,110 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0abd6c39-afa8-45da-aedc-67ba9b5279ee, Nodes: 805b5cc2-f67a-4b18-a040-d20ff0e4407e{ip: 109.53.92.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
