2019-06-17 21:27:30,599 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a131882a-c6d5-44e4-b4cf-3ccc76a257ce, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,599 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5aae5958-e32c-4347-80d9-8227b377f4c6, Nodes: 7d3dd249-71de-4720-8b14-46e76d1f3276{ip: 18.243.195.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,600 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 01db93bf-4dab-43f9-8250-8d20af88f464, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,600 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 773478af-7397-4680-be3a-766746ef7ef9, Nodes: e4da881f-0597-4057-8416-83be5befe778{ip: 167.180.141.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,601 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8833b4d2-39ab-4c27-a777-d84bb4766032, Nodes: 8a868fec-106b-4380-bdd2-f3c056735908{ip: 224.142.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,601 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ec3e2748-4684-423f-ab2b-70af704dae8a, Nodes: 7d3dd249-71de-4720-8b14-46e76d1f3276{ip: 18.243.195.31, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,603 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56e0f2c2-1b71-461d-a589-c12dafaebda2, Nodes: 2cd475f8-8013-4063-b9e0-f60fcfe87ded{ip: 95.113.244.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,605 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c9b17a5c-28cf-415f-ad2a-b6cd87e1aeb1, Nodes: bf7d24ae-0193-4f07-af16-4092fc3471b5{ip: 224.73.248.79, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,606 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 60f2446e-9fbf-4573-8759-1abf32dc65f7, Nodes: 8a868fec-106b-4380-bdd2-f3c056735908{ip: 224.142.86.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 21:27:30,606 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2035425e-e13c-438b-9035-575dbed27d25, Nodes: 955393d4-7f35-4847-b62c-d4976eb140e0{ip: 4.192.24.135, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
