2019-06-17 01:32:55,906 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:32:56,387 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f44a5f48-8422-440d-a334-c72c113e57f5, Nodes: bad81ce0-7360-4f7f-9bd8-aa6620307dcb{ip: 254.189.2.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,387 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 51e2ed48-c684-452f-bfe7-523afd9ef2ef, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,389 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 119415b8-bfc1-4b38-9b5a-54bef9ba7f47, Nodes: bad81ce0-7360-4f7f-9bd8-aa6620307dcb{ip: 254.189.2.106, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,390 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fc73b008-ad28-4800-a6f8-9ef014be5d58, Nodes: d3b54f40-eff2-4093-a590-23df5710e569{ip: 34.165.41.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,390 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bfe6bfc8-4171-422d-845c-b9833c1e7aa9, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,391 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c62203c-95e8-4034-a9bf-504919ff2957, Nodes: 9cb0c20d-3506-451e-89e2-80e62145210d{ip: 14.10.107.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,392 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 39ab8394-ad8b-4dde-869a-5b4d5d99306e, Nodes: f84a7a4d-c11c-4a63-a497-0b8c40277c06{ip: 246.138.28.230, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,392 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: af86c81d-b3d6-4b5f-a870-024d639669a0, Nodes: f8d2dd55-d33a-4292-86d2-96ec547bcade{ip: 184.22.28.172, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,393 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c6be1f89-4b1b-4a9d-811a-2cd29bcd68de, Nodes: 9cb0c20d-3506-451e-89e2-80e62145210d{ip: 14.10.107.192, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:32:56,394 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38bb5c19-ab11-40aa-af48-14900ea4124a, Nodes: b5326425-1b46-46ed-8c2c-25b5f6e50c09{ip: 175.243.144.41, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
