2019-06-18 07:39:15,718 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8d6e31a6-1996-4639-995a-58d3aedd3a31, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,719 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c6bc11cd-3f61-4aaa-8ec7-e530b08ba9dc, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,719 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 09a1a73d-8afe-4589-8010-81685ac8b678, Nodes: c017953a-af5b-4b09-90aa-7c42073e76c8{ip: 242.219.240.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,720 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 328f2205-c5be-4702-94f2-cff47e8a25a3, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,720 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e74580fa-89e0-4b7b-8c6c-dd9633c23bf7, Nodes: ee103dc9-b751-45aa-9a27-5ab8cc88865a{ip: 150.206.175.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,721 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1c02b6cb-b6d3-465a-b0a9-6528e0ce6129, Nodes: 82fb38e9-2348-48e8-99a6-dfcb32af0cb4{ip: 123.78.10.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,721 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f54fa9a3-2a08-47c1-9ae5-1f7c4de12b6b, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,723 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 843b5524-f6b2-46c0-a24c-9584e75936f1, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,724 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78870561-3b78-4a0b-b2be-7850c9a14131, Nodes: 82fb38e9-2348-48e8-99a6-dfcb32af0cb4{ip: 123.78.10.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,725 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6499d379-cc43-41bc-8ef1-c9d6f1e94792, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,725 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06746e8b-7934-4337-8c67-45adc7d79361, Nodes: 6b462976-010f-417e-be0f-3e25ac8a6d2e{ip: 188.7.55.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,726 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1361d677-03ed-4590-a4a7-4125b5cf2bca, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,726 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 57c7e835-0072-41f3-aaf9-5a9cbff68420, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,727 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 32abbddb-3a39-444f-a896-c19ecc2c87e2, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,727 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f05b530-0a59-4dee-b2bf-88c89b044220, Nodes: 82fb38e9-2348-48e8-99a6-dfcb32af0cb4{ip: 123.78.10.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,728 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc6ec4e2-254b-4592-b043-cc93aefcf7f2, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,728 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 73d1145e-c6a7-484a-a117-951caa220dd3, Nodes: 6b462976-010f-417e-be0f-3e25ac8a6d2e{ip: 188.7.55.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,729 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f3cbf14-b5fa-42a6-827e-729fe4c14bd3, Nodes: 6b462976-010f-417e-be0f-3e25ac8a6d2e{ip: 188.7.55.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,729 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9610ba90-b400-4468-9781-ed2835bed051, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,730 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0112765b-3231-4a57-8a2e-acdd102a79d3, Nodes: c017953a-af5b-4b09-90aa-7c42073e76c8{ip: 242.219.240.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,730 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0bd4c70b-0f02-45d2-8e43-40a555c6c2c8, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 023b9a56-4b10-4690-8ac9-0d5638836d33, Nodes: ea4291cd-5ee5-47de-8b1b-f3180f517e21{ip: 112.97.42.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,731 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2d4755e5-fdd6-4e42-88e7-fdbcd972440a, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,732 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5f1e50dd-0411-4257-ba6c-4b76a5ebed80, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,732 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f4e4bd3a-d90f-4d14-8eb5-fb30efae75b4, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,732 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6cb12561-c695-49ba-b78d-80042bc4d79b, Nodes: 6b462976-010f-417e-be0f-3e25ac8a6d2e{ip: 188.7.55.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a3c3524d-19e1-4f0f-9718-e16c6712837e, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e381c82f-148d-454d-87fb-c756865db2b1, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba607fa3-020a-48c7-b4b2-1fb0843c435e, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bd0060f0-0cb4-4263-8413-b4bcd460677e, Nodes: 6b462976-010f-417e-be0f-3e25ac8a6d2e{ip: 188.7.55.233, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63602480-5d07-4d01-ab71-51d6783da794, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: caa1ef73-9b5d-4e34-80a4-06f0a91bab47, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8349040f-28ca-445c-aeeb-2c2c1bb9c269, Nodes: 82fb38e9-2348-48e8-99a6-dfcb32af0cb4{ip: 123.78.10.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b8da54e0-249c-43f8-9f32-c7abae70c692, Nodes: ea4291cd-5ee5-47de-8b1b-f3180f517e21{ip: 112.97.42.95, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b7dfbeb-ef75-4e05-8fa0-21f62334798a, Nodes: 82fb38e9-2348-48e8-99a6-dfcb32af0cb4{ip: 123.78.10.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f32e927-17e7-481f-9eb6-c65e570b5bd6, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3a3be58d-d6ed-4aac-b6d0-2589cad8193f, Nodes: c017953a-af5b-4b09-90aa-7c42073e76c8{ip: 242.219.240.246, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 015b54c6-8921-4e3e-b41d-6dfaaa417779, Nodes: ee103dc9-b751-45aa-9a27-5ab8cc88865a{ip: 150.206.175.169, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,739 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ac76f47c-e8f4-42b5-8b83-2a5441168435, Nodes: 9834910c-6265-4fb4-8f34-7e764b63d3e3{ip: 23.118.95.21, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 44d9a4d2-2b8b-4cf5-a218-af7dd299c3b8, Nodes: 1ed5bded-1b02-4eee-bc5d-d7dc72de9fa9{ip: 175.222.180.146, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 07:39:15,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3d69f020-7323-4eec-a70c-8a335a052207, Nodes: f63e2fd8-421b-42d3-97e5-916e2e170d29{ip: 194.166.6.83, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
