2019-06-17 12:16:06,644 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 12:16:06,837 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 12:16:06,838 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 12:16:07,155 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea6fed69-3e98-4072-8f08-b24ecd811e7c, Nodes: e3d22181-7bb6-426a-b9e3-e542b37164eb{ip: 122.84.64.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,156 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3bf4baf1-ae16-4dc1-be02-f9f2ff8ea89d, Nodes: e3d22181-7bb6-426a-b9e3-e542b37164eb{ip: 122.84.64.181, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,157 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 658d4d1f-fed0-47b4-b04d-1c6c4f4cd1ff, Nodes: 227a584b-4f05-4b00-b3f2-9ba13f79c8a3{ip: 105.212.106.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,159 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7467b5f6-a628-4088-957f-e056bcc04258, Nodes: 80d26b57-6950-464b-b0b1-361d0e13e416{ip: 88.40.168.1, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,159 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b8d332bc-50b6-4c08-839a-dc7c02dbdfc9, Nodes: 6e550cb6-6e27-440f-b3be-e471ca0f75d4{ip: 127.130.40.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,160 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d1c87d57-fe6a-421c-a4c4-d578a894868d, Nodes: 80d26b57-6950-464b-b0b1-361d0e13e416{ip: 88.40.168.1, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,160 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8600b997-4192-4ad3-9828-1ef31d20b68e, Nodes: 55a739cb-88cd-47c4-bf66-5f62f5c8dfeb{ip: 113.234.229.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,161 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 56957504-9cef-4f3c-a275-75ff47f924b4, Nodes: 8b97a3a2-6be2-4301-abf0-7f80b3dc490e{ip: 68.20.3.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,162 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2a851258-c2ee-45d8-a2e1-a7a31eac16fa, Nodes: f44b0581-5689-4500-9e76-b6cd7030e00b{ip: 128.122.142.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,163 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a79b8b2d-433a-4d18-bf92-f939cac95e23, Nodes: a28e1692-7300-461b-886e-2678d1450ebc{ip: 148.84.235.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,163 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e96a8bc0-9386-424c-8407-4927799ddd5d, Nodes: 55a739cb-88cd-47c4-bf66-5f62f5c8dfeb{ip: 113.234.229.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,164 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3803a7d9-793d-4a37-bbd2-00e17a4e79ee, Nodes: 6e550cb6-6e27-440f-b3be-e471ca0f75d4{ip: 127.130.40.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,165 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 28ee4281-e26e-40a0-8cad-8f32d24dc083, Nodes: f44b0581-5689-4500-9e76-b6cd7030e00b{ip: 128.122.142.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,165 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2a61bd83-d0df-499b-a2d0-ab33e1f8cc42, Nodes: a28e1692-7300-461b-886e-2678d1450ebc{ip: 148.84.235.151, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,166 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6f84c9fc-b509-4646-a673-e665c8a2d53c, Nodes: 6e550cb6-6e27-440f-b3be-e471ca0f75d4{ip: 127.130.40.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,166 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4dda6ace-1790-4253-8934-cae475769d1d, Nodes: 8b97a3a2-6be2-4301-abf0-7f80b3dc490e{ip: 68.20.3.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,167 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4e4089d9-1db4-4462-b2b9-ae33adb751b8, Nodes: f44b0581-5689-4500-9e76-b6cd7030e00b{ip: 128.122.142.65, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,168 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 87d36347-5953-475c-aac6-1f2254da1f4b, Nodes: 55a739cb-88cd-47c4-bf66-5f62f5c8dfeb{ip: 113.234.229.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,168 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62046590-b8de-4d19-b38d-4897586821ad, Nodes: 6e550cb6-6e27-440f-b3be-e471ca0f75d4{ip: 127.130.40.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,169 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ba4f6724-5907-49d0-b3ac-b9bb02a69920, Nodes: 8b97a3a2-6be2-4301-abf0-7f80b3dc490e{ip: 68.20.3.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,169 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ea5fc47e-37de-417c-b49e-720b620f417b, Nodes: 6e550cb6-6e27-440f-b3be-e471ca0f75d4{ip: 127.130.40.207, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 12:16:07,170 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a78979aa-032a-4a6c-b5d6-787378673a2c, Nodes: 55a739cb-88cd-47c4-bf66-5f62f5c8dfeb{ip: 113.234.229.87, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
