2019-06-17 22:12:53,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e8deefba-9d25-4815-8bd2-d62bb16d79ef, Nodes: c943b79f-fc19-49bd-a487-43edf5d8fa16{ip: 139.21.82.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 38882251-0f09-40dd-9ba3-d76aeadc61dd, Nodes: 06d389c5-27bb-4a83-bc25-623c72e0b988{ip: 8.21.89.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,833 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a70aa8bf-7d44-44ea-836a-bfa316281a37, Nodes: 1a15f220-b354-4744-8a81-d24b0aae8172{ip: 83.128.182.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,834 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 105de6e1-738a-43af-bb5c-b20b075a471f, Nodes: 06d389c5-27bb-4a83-bc25-623c72e0b988{ip: 8.21.89.81, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,835 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e4ffb8a-3215-4406-8851-1f7c84585396, Nodes: 36ad9f83-0258-453f-91e7-d6132abae71c{ip: 61.95.200.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,836 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 71a697df-426b-46b0-9ee4-349edefca959, Nodes: 1a15f220-b354-4744-8a81-d24b0aae8172{ip: 83.128.182.176, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,838 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4dccb919-9d6c-4cf1-8163-f51d902146bf, Nodes: 8f87e9c1-3413-47b4-af7c-e12ecc4bdfdf{ip: 84.24.92.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,838 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a993a0d9-c555-4eb2-a63b-ed92c4670ede, Nodes: e327e674-187a-4fcd-9392-804127a12d87{ip: 251.196.184.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,839 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b89e09b1-5108-45e9-8230-c492d5a099f2, Nodes: 866f6dc5-c3ec-4ea3-bcbb-f597c652b512{ip: 30.223.202.234, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,840 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 248b8f13-1ddf-47e9-932c-85785dff361c, Nodes: e327e674-187a-4fcd-9392-804127a12d87{ip: 251.196.184.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,841 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9488a850-9e62-45b4-830a-b88d199446a3, Nodes: 36ad9f83-0258-453f-91e7-d6132abae71c{ip: 61.95.200.39, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,841 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 83f6b44c-0a7b-4867-9555-0d3ab0598843, Nodes: 8f87e9c1-3413-47b4-af7c-e12ecc4bdfdf{ip: 84.24.92.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:12:53,842 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 753b8a03-d1ca-4f96-84f9-45c30ba555e6, Nodes: e327e674-187a-4fcd-9392-804127a12d87{ip: 251.196.184.24, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
