2019-06-18 05:37:27,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ae30b1ff-47ab-4eef-9fab-704b1a8c8e1b, Nodes: 62c78751-72d7-4435-ac58-6e0cf140a98d{ip: 196.20.245.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 79a63b8f-3a27-445a-a0a4-374914d97358, Nodes: 309d4a7e-69d5-4a5e-8c82-054858aaed46{ip: 191.116.19.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e55ba301-9936-46ee-b103-976f384ff849, Nodes: 1a4d4ab2-f171-4272-b431-f6162357ad4c{ip: 43.219.200.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8a4618ed-0d97-412e-981e-c13f6cf6c9d3, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dfc7aaef-cf4b-4f84-bfa2-40d45bf1f04a, Nodes: 237c79f0-6937-409e-ac7f-f4ceff1f03f2{ip: 61.60.94.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b254c80f-9bc5-45da-b99a-a6dda82adfdf, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: caa2f10a-82b2-4172-b951-349e9a697c02, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 230ff61d-47b5-4134-9074-0c789d7a0e88, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,739 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ac9b81a8-08b9-43fc-b7c2-96b002b7185d, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eb4a1865-8db5-46a4-8faf-7774f58fa851, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 11931310-71d8-44e8-94c7-810140552f09, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,741 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a1ef0a9f-4619-4802-90f8-70f5d17d73f1, Nodes: 95d0f369-f30e-4fa8-8f54-a54de97e2d49{ip: 18.4.243.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,741 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e0d1a1c9-2d0d-4ce7-840d-b7b3d6ef0b0a, Nodes: 309d4a7e-69d5-4a5e-8c82-054858aaed46{ip: 191.116.19.200, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ebeff2f2-8adf-453a-84d3-adcd56039408, Nodes: 95d0f369-f30e-4fa8-8f54-a54de97e2d49{ip: 18.4.243.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,742 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74654d6a-df60-403c-8e28-1802ebc8cd48, Nodes: 62c78751-72d7-4435-ac58-6e0cf140a98d{ip: 196.20.245.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,743 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5af2f6ba-ccdd-4388-8bd2-bb110aa54c7b, Nodes: 95d0f369-f30e-4fa8-8f54-a54de97e2d49{ip: 18.4.243.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,743 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 086db49e-cf3a-46e5-b9bd-b64799a63318, Nodes: 058d7e67-ac24-4554-8e8c-d1d524faff81{ip: 17.88.59.219, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,744 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d2e98f8-a1d1-47f8-b653-8c69c53baef3, Nodes: 95d0f369-f30e-4fa8-8f54-a54de97e2d49{ip: 18.4.243.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,744 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b16ffd9f-b542-4264-acc1-d8db40e58db0, Nodes: 62c78751-72d7-4435-ac58-6e0cf140a98d{ip: 196.20.245.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,744 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0bb99cc6-235a-4340-af7a-8239f0471317, Nodes: 1a4d4ab2-f171-4272-b431-f6162357ad4c{ip: 43.219.200.96, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 05:37:27,745 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: daadaa5e-f3c1-4798-927f-6e2d4507bd2b, Nodes: f265201d-4825-4ec3-9473-bc684dc44287{ip: 148.174.148.82, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
