2019-06-16 23:51:09,564 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 23:51:09,737 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-16 23:51:09,738 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-16 23:51:10,064 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 89a4aac7-53b3-4c25-8625-36ff27fba32a, Nodes: 84bdb22c-bcd7-4251-8275-9ff7da3b8e88{ip: 163.251.75.205, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,064 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7bb55ae6-1f6b-4b48-a750-cc687eb96c24, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,065 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95c95123-8424-4231-85ea-2666e0435ad9, Nodes: a8363143-b40e-4938-bcac-ad4d322d7789{ip: 207.175.167.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,066 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 39041397-97a9-42e4-93d6-63c6e79b3f27, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,066 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6fedd264-64ac-49bc-8764-bafb2b7836ac, Nodes: 6664f79b-b9b9-4852-99ef-f45428687516{ip: 217.79.255.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,067 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 16443a7e-e18b-449e-939c-c857ab6c97a7, Nodes: c1848355-d066-428e-9300-9a9f48d47f1f{ip: 118.253.198.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,068 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9177aab7-5494-4b8a-934b-0b9968bc33e6, Nodes: a8363143-b40e-4938-bcac-ad4d322d7789{ip: 207.175.167.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,070 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 43a85fa5-bf4a-4df2-8648-276cdf1ba246, Nodes: efe30e32-1073-47dd-bf0a-294e71f8fb6d{ip: 243.231.214.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,071 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 93a60327-90ee-4084-a8b8-37a023d87a49, Nodes: 6664f79b-b9b9-4852-99ef-f45428687516{ip: 217.79.255.14, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,071 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a4305d21-6fba-4790-8aa5-13fb05064d10, Nodes: 6eb2fcf5-8328-46eb-b2b3-017ab38e983e{ip: 107.186.24.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,072 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a51d8aca-23ef-4668-aaa6-46e23f7ce1c0, Nodes: c1848355-d066-428e-9300-9a9f48d47f1f{ip: 118.253.198.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,072 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 68a09a48-981b-4bc3-b9f7-1705ee7a4d5f, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,073 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0f7485d-c7a8-47bf-bbb6-986db11e6f3b, Nodes: 6eb2fcf5-8328-46eb-b2b3-017ab38e983e{ip: 107.186.24.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,074 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2c38cc49-0c85-4220-a54b-9c88b83f6ab9, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,074 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 358d2353-225c-4b49-9d48-4a3404998317, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,075 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a77a206d-2ae9-421d-9baf-cf1c99297067, Nodes: bb1c5fa7-50bb-4b83-a7e9-a512c78b6311{ip: 130.213.57.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,076 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7ee99044-9718-4187-b36f-e2c619efad60, Nodes: 84bdb22c-bcd7-4251-8275-9ff7da3b8e88{ip: 163.251.75.205, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,076 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 06c4003b-22cc-4fc9-b123-e212aa8114c7, Nodes: bb1c5fa7-50bb-4b83-a7e9-a512c78b6311{ip: 130.213.57.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,077 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 054bb557-d5cc-42fd-ba23-1ce35b588652, Nodes: a8363143-b40e-4938-bcac-ad4d322d7789{ip: 207.175.167.111, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,078 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ff5f1b95-4e7d-4502-a51f-5510fd616e8e, Nodes: c1848355-d066-428e-9300-9a9f48d47f1f{ip: 118.253.198.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,078 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7f3a47f0-67c8-48f5-a639-3d9341aedb69, Nodes: c1848355-d066-428e-9300-9a9f48d47f1f{ip: 118.253.198.188, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,079 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3f97ad83-a1ae-4dfb-a3c7-a6f0f89566d5, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,080 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d2671993-e110-43d0-8557-0c5811791b39, Nodes: 20f2dabf-27ad-4007-88a8-c544276c6f3a{ip: 114.111.34.203, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,080 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6c00f258-39db-4ebd-931c-4170bb8aa7be, Nodes: bb1c5fa7-50bb-4b83-a7e9-a512c78b6311{ip: 130.213.57.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 23:51:10,081 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 583139f4-bb3d-44e5-943f-09017e658913, Nodes: bb1c5fa7-50bb-4b83-a7e9-a512c78b6311{ip: 130.213.57.131, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
