2019-06-17 08:06:47,696 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0f3be1f3-cc5f-4bff-9501-433af3336923, Nodes: 1fceba7f-b537-4932-a64a-755705f3d2ac{ip: 46.93.227.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,696 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8eddd7e-c536-4e61-9fc1-f7806319a0a8, Nodes: 0c73f966-c6d1-47c3-92e4-1f137bac95d7{ip: 119.113.10.211, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,696 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 371b26fc-91c6-43bd-91d0-e2ac543a37f3, Nodes: ca5c7e29-9a04-4aa5-984e-cf2724388581{ip: 171.27.67.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,697 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: eade5ca9-8c69-4987-a394-39b03f525dc2, Nodes: f80a3f63-7235-4c0d-bad0-794e967fd78e{ip: 127.174.68.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,697 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f1708a70-780d-40f6-9014-c5c90c962cf8, Nodes: 37bb1261-46ea-4892-ad4e-b34461d4d4fa{ip: 127.173.140.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,698 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 63ab89da-8029-4166-b4af-1b46b5c7c654, Nodes: 37bb1261-46ea-4892-ad4e-b34461d4d4fa{ip: 127.173.140.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,698 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 82b0bc84-a404-4bc9-b29c-64715b8d5eab, Nodes: f80a3f63-7235-4c0d-bad0-794e967fd78e{ip: 127.174.68.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,699 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1b37f6ad-f29f-413a-b048-831b37c89d0d, Nodes: 1fceba7f-b537-4932-a64a-755705f3d2ac{ip: 46.93.227.215, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,699 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 60af4ebd-a5a2-493c-9d0d-8dea8099966b, Nodes: ceb2dee9-b7e8-467c-90e3-ee427e7b4cd9{ip: 38.129.79.62, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:06:47,700 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 517e6713-cdd1-4c82-8219-e5ad8486013e, Nodes: ca5c7e29-9a04-4aa5-984e-cf2724388581{ip: 171.27.67.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
