2019-06-17 19:33:29,592 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 67172818-c538-45c5-b353-0f6edecc896b, Nodes: 78316442-bce7-40a2-8358-a3b99c811ce9{ip: 182.74.24.102, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,592 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3d26d446-fd15-4438-9e87-58aa155b04a8, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,594 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 666fbbe8-d9e2-499c-86db-b7f65696a9c1, Nodes: 0bbc27b4-d25a-4a2e-b3c7-534ba9492f37{ip: 108.68.235.122, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,595 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95227ab9-0402-4cb8-9d79-742081dbadcd, Nodes: e95e25a4-4a4e-4b71-9677-4859f17fa06d{ip: 180.68.2.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,595 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a4b40bf-168f-42de-97db-4f0a67d32b85, Nodes: e95e25a4-4a4e-4b71-9677-4859f17fa06d{ip: 180.68.2.149, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,596 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 61476769-2f36-46df-b218-8fdc9b8a1a41, Nodes: ddcb77e2-a2ac-47e4-9aca-5d6383a512e7{ip: 20.48.184.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,596 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5fb499ef-f5d6-4897-bb88-f255bfe75f5f, Nodes: aafb5960-4c0b-4026-8844-1af8d74743c3{ip: 18.118.130.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,597 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f3ec6a5c-2ab3-4af1-bfee-8b9e51bbc24a, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,597 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ede1b31d-5841-4334-b2d3-5f37bfd2d58e, Nodes: aafb5960-4c0b-4026-8844-1af8d74743c3{ip: 18.118.130.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 19:33:29,598 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a9a64c6c-9ee6-49e6-9442-c701b946b215, Nodes: 3d944385-86dc-456c-87b7-bc068d2c4b1e{ip: 215.156.224.180, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
