2019-06-17 07:19:48,747 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2a8417ed-f0c8-40d8-9da8-ef918dfa66e1, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,747 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5498ffb6-e857-43d5-8515-f3da9c96c725, Nodes: 1e05d6cc-e0a6-4a5a-bfff-0ed223263292{ip: 8.56.130.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,748 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f6f652ee-185d-44a1-beb6-64f38939899e, Nodes: 826aef48-e34b-4e99-be7f-b2a5dd956fa7{ip: 176.201.68.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,749 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 394a1faf-c2cc-44ea-b01e-5071d10c3aaa, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,749 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b9c43751-d6b6-4af6-9ca9-a3959ac47509, Nodes: af4ccd41-f3f8-4db6-bb1c-de327ff18da2{ip: 148.195.245.156, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,750 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b3ece557-bc49-4a7c-ba02-25ed006f39af, Nodes: d3280da4-59b4-4e1c-bf98-48d50427c410{ip: 212.121.130.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,750 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 135aade6-1971-4518-8272-de8d0fa1f27b, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,751 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 95667896-ae0e-4929-bfd1-925df7bfd0ef, Nodes: 826aef48-e34b-4e99-be7f-b2a5dd956fa7{ip: 176.201.68.99, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,753 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: afb437b1-bda5-43c5-829b-f48214810534, Nodes: 80f6b7e3-bc80-49ee-a837-f05b01bc10f3{ip: 99.235.77.35, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,754 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a53811b7-0a8f-40e5-a225-6fc2f0d02f04, Nodes: 9d2e5de3-2cbd-49f9-b9b3-76c11ceb3df6{ip: 129.135.7.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,754 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d59f2e9-9a99-45ba-9719-30445c724aa4, Nodes: d3280da4-59b4-4e1c-bf98-48d50427c410{ip: 212.121.130.242, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 07:19:48,755 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e66f5b2-50f9-4ca1-ad91-3b5c6759e4e2, Nodes: 1e05d6cc-e0a6-4a5a-bfff-0ed223263292{ip: 8.56.130.93, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
