2019-06-17 03:24:01,779 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a73d4f89-5c45-4989-8743-4cddd5d3f638, Nodes: 83a1ff8c-c53f-4b08-ad1c-3ceca214ec99{ip: 238.48.174.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,780 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6c2d4409-6d39-4213-92b1-0676edab8ec0, Nodes: 0233778b-47d5-459d-b991-775defb2e0d8{ip: 157.61.118.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,781 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cc6e17fb-613b-449d-9195-c79b4358973e, Nodes: 6b2d9eb8-3471-4657-bc4f-06633dca955f{ip: 95.64.77.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,782 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b4d0e16c-44dc-41a9-ba4d-a907dcaa6b1d, Nodes: 29725ffe-f8a3-4ecf-b52f-3ef3e3f14b1d{ip: 248.104.148.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,783 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d39cda50-0ec4-4aba-a781-57daadf36ea0, Nodes: 0233778b-47d5-459d-b991-775defb2e0d8{ip: 157.61.118.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,784 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 221231ad-ba1e-4346-a368-3c287d5bd6d3, Nodes: b979b18d-966f-4d8b-8384-23c42159ed0a{ip: 101.248.119.108, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,784 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d2e245db-c6d5-429b-88a8-599516d11326, Nodes: 7d85df60-fe20-40a5-80b6-5a3abce1209e{ip: 151.213.125.150, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,785 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e5683465-d11e-44aa-9e6f-82981e1d5caf, Nodes: 83a1ff8c-c53f-4b08-ad1c-3ceca214ec99{ip: 238.48.174.139, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dfdb4f44-5d6c-4cb9-963c-20567caf80f2, Nodes: 29725ffe-f8a3-4ecf-b52f-3ef3e3f14b1d{ip: 248.104.148.88, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 03:24:01,786 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 062f40c0-edd7-4b8b-b815-e07fc92c844b, Nodes: 7d85df60-fe20-40a5-80b6-5a3abce1209e{ip: 151.213.125.150, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
