2019-06-17 22:25:28,481 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:28,686 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 22:25:28,687 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 22:25:29,041 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a83fb805-abc5-4a1d-8b03-d9d473570bf0, Nodes: fd15e835-9012-439a-beb6-ee6ddb82dfa6{ip: 20.65.84.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,042 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b4425f02-9f0a-471c-a5f7-d4641493f2e7, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,043 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a4251b6-7d2d-40d3-95b2-17325938cd4c, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,043 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f40ec025-11ff-4b4a-97e6-f3598c0c6498, Nodes: 6d0591ef-364a-421d-a577-87dca9872648{ip: 116.6.231.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,044 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 819a8198-5a5c-4661-bd17-c21937d40893, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,045 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fabadc0c-fbdd-4c77-b2ed-c1aca75860f5, Nodes: 63469ff6-43f3-45f6-a87a-6e7e5c1426c2{ip: 36.38.107.44, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,045 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00904e58-1354-4ef6-9606-35ecf3eb1879, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,046 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 42183555-163a-42d9-9792-feaf48de0cb0, Nodes: daa916d0-1342-4bed-abf1-d05bad718a02{ip: 232.214.211.208, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,047 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a6a7081a-ec58-4e28-8d07-b1626b1d3e77, Nodes: 2db82b43-fba7-45fa-93cf-033aa5f67031{ip: 143.157.95.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,048 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08e45fa7-664e-4a8b-b382-5e7e4a50685f, Nodes: 6d0591ef-364a-421d-a577-87dca9872648{ip: 116.6.231.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,048 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 892238bf-b574-4ed6-be63-0c2592b6e726, Nodes: fd15e835-9012-439a-beb6-ee6ddb82dfa6{ip: 20.65.84.195, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,049 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cd8aa1da-21ad-4182-bee0-4f7d07e49f6f, Nodes: d56d84fc-13a8-475c-b379-5f8f6f35c00b{ip: 33.65.77.91, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,050 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a0cd1d7-eaca-4abf-9a9b-e77c8b47b13d, Nodes: 059744f7-407e-44e8-9245-c768bf95783b{ip: 68.170.158.227, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,050 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5239ef6d-65cc-447c-8879-c2bde95f0730, Nodes: 679e1786-304a-44b9-82b3-f9cce58c0a6c{ip: 84.246.64.212, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 22:25:29,051 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 37e83578-1e86-406a-8542-5b6ddb3c15a9, Nodes: 2db82b43-fba7-45fa-93cf-033aa5f67031{ip: 143.157.95.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
